Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,14.0625,0,79,0,0,0
1,39.0625,0,80,0,0,0
1,64.0625,0,79,0,0,0
1,89.0625,0,1023,0,0,0
1,114.0625,0,1023,714,1616,433
1,139.0625,0,814,0,0,0
1,164.0625,0,398,0,0,0
1,189.0625,0,280,0,0,0
1,15.625,1,77,0,0,0
1,40.625,1,75,0,0,0
1,65.625,1,77,0,0,0
1,90.625,1,1023,0,0,0
1,115.625,1,1023,716,1632,368
1,140.625,1,733,0,0,0
1,165.625,1,389,0,0,0
1,190.625,1,274,0,0,0
1,17.1875,2,73,0,0,0
1,42.1875,2,81,0,0,0
1,67.1875,2,81,0,0,0
1,92.1875,2,1023,0,0,0
1,117.1875,2,1023,715,1624,300
1,142.1875,2,661,0,0,0
1,167.1875,2,379,0,0,0
1,192.1875,2,274,0,0,0
1,18.75,3,83,0,0,0
1,43.75,3,81,0,0,0
1,68.75,3,83,0,0,0
1,93.75,3,1023,0,0,0
1,118.75,3,1023,715,1624,245
1,143.75,3,603,0,0,0
1,168.75,3,369,0,0,0
1,193.75,3,268,0,0,0
1,20.3125,4,81,0,0,0
1,45.3125,4,83,0,0,0
1,70.3125,4,83,0,0,0
1,95.3125,4,1023,0,0,0
1,120.3125,4,1023,716,1632,177
1,145.3125,4,578,0,0,0
1,170.3125,4,357,0,0,0
1,195.3125,4,266,0,0,0
1,21.875,5,85,0,0,0
1,46.875,5,83,0,0,0
1,71.875,5,84,0,0,0
1,96.875,5,1023,0,0,0
1,121.875,5,1023,714,1616,111
1,146.875,5,567,0,0,0
1,171.875,5,344,0,0,0
1,196.875,5,260,0,0,0
1,23.4375,6,80,0,0,0
1,48.4375,6,81,0,0,0
1,73.4375,6,82,0,0,0
1,98.4375,6,94,0,0,0
1,123.4375,6,1023,0,0,0
1,148.4375,6,766,716,1632,44
1,173.4375,6,556,0,0,0
1,198.4375,6,344,0,0,0
1,0.0,7,84,0,0,0
1,25.0,7,83,0,0,0
1,50.0,7,83,0,0,0
1,75.0,7,122,0,0,0
1,100.0,7,1023,715,1624,1012
1,125.0,7,1023,0,0,0
1,150.0,7,534,0,0,0
1,175.0,7,338,0,0,0
1,1.5625,8,80,0,0,0
1,26.5625,8,77,0,0,0
1,51.5625,8,83,0,0,0
1,76.5625,8,186,0,0,0
1,101.5625,8,1023,716,1632,946
1,126.5625,8,1023,0,0,0
1,151.5625,8,521,0,0,0
1,176.5625,8,328,0,0,0
1,3.125,9,80,0,0,0
1,28.125,9,80,0,0,0
1,53.125,9,79,0,0,0
1,78.125,9,296,0,0,0
1,103.125,9,1023,716,1632,878
1,153.125,9,503,0,0,0
1,178.125,9,318,0,0,0
1,4.6875,10,80,0,0,0
1,29.6875,10,81,0,0,0
1,54.6875,10,81,0,0,0
1,79.6875,10,431,0,0,0
1,104.6875,10,1023,715,1624,812
