Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
56,0.0,7,72,0,0,0
56,1.5625,8,73,0,0,0
56,3.125,9,70,0,0,0
56,4.6875,10,72,0,0,0
56,6.25,11,73,0,0,0
56,7.8125,12,73,0,0,0
56,9.375,13,74,0,0,0
56,10.9375,14,72,0,0,0
56,12.5,15,72,0,0,0
56,14.0625,0,70,0,0,0
56,15.625,1,72,0,0,0
56,17.1875,2,71,0,0,0
56,18.75,3,72,0,0,0
56,20.3125,4,72,0,0,0
56,21.875,5,71,0,0,0
56,23.4375,6,70,0,0,0
56,25.0,7,70,0,0,0
56,26.5625,8,73,0,0,0
56,28.125,9,71,0,0,0
56,29.6875,10,72,0,0,0
56,31.25,11,71,0,0,0
56,32.8125,12,72,0,0,0
56,34.375,13,70,0,0,0
56,35.9375,14,72,0,0,0
56,37.5,15,70,0,0,0
56,39.0625,0,72,0,0,0
56,40.625,1,71,0,0,0
56,42.1875,2,70,0,0,0
56,43.75,3,73,0,0,0
56,45.3125,4,71,0,0,0
56,46.875,5,71,0,0,0
56,48.4375,6,74,0,0,0
56,50.0,7,70,0,0,0
56,51.5625,8,72,0,0,0
56,53.125,9,73,0,0,0
56,54.6875,10,72,0,0,0
56,56.25,11,72,0,0,0
56,57.8125,12,72,0,0,0
56,59.375,13,73,0,0,0
56,60.9375,14,72,0,0,0
56,62.5,15,72,0,0,0
56,64.0625,0,72,0,0,0
56,65.625,1,73,0,0,0
56,67.1875,2,71,0,0,0
56,70.3125,4,70,0,0,0
56,71.875,5,74,0,0,0
56,73.4375,6,70,0,0,0
56,75.0,7,95,0,0,0
56,76.5625,8,143,0,0,0
56,78.125,9,237,0,0,0
56,79.6875,10,357,0,0,0
56,81.25,11,492,0,0,0
56,82.8125,12,627,0,0,0
56,84.375,13,761,0,0,0
56,85.9375,14,885,0,0,0
56,87.5,15,990,0,0,0
56,89.0625,0,1023,0,0,0
56,90.625,1,1023,0,0,0
56,92.1875,2,1023,0,0,0
56,93.75,3,1023,0,0,0
56,95.3125,4,1023,0,0,0
56,96.875,5,1023,0,0,0
56,98.4375,6,78,0,0,0
56,100.0,7,1023,0,0,0
56,101.5625,8,1023,611,792,986
56,103.125,9,1023,612,800,920
56,104.6875,10,1023,613,808,858
56,106.25,11,1023,611,792,792
56,107.8125,12,1023,611,792,730
56,109.375,13,993,612,800,665
56,110.9375,14,901,611,792,601
56,114.0625,0,669,611,792,471
56,115.625,1,579,611,792,407
56,117.1875,2,490,614,816,345
56,118.75,3,411,611,792,278
56,120.3125,4,362,612,800,217
56,121.875,5,338,611,792,25
56,123.4375,6,510,0,0,0
56,125.0,7,320,611,792,21
56,126.5625,8,309,0,0,0
56,128.125,9,301,0,0,0
56,129.6875,10,292,0,0,0
56,131.25,11,283,0,0,0
56,132.8125,12,274,0,0,0
56,134.375,13,267,0,0,0
56,135.9375,14,255,0,0,0
56,137.5,15,249,0,0,0
56,139.0625,0,239,0,0,0
56,140.625,1,230,0,0,0
56,142.1875,2,223,0,0,0
56,143.75,3,219,0,0,0
56,145.3125,4,214,0,0,0
56,146.875,5,208,0,0,0
56,148.4375,6,328,0,0,90
56,150.0,7,197,0,0,0
56,151.5625,8,194,0,0,0
56,153.125,9,192,0,0,0
56,154.6875,10,186,0,0,0
56,157.8125,12,180,0,0,0
56,159.375,13,180,0,0,0
56,160.9375,14,173,0,0,0
56,162.5,15,171,0,0,0
56,164.0625,0,166,0,0,0
56,165.625,1,164,0,0,0
56,167.1875,2,164,0,0,0
56,168.75,3,161,0,0,0
56,170.3125,4,160,0,0,0
