Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,14.0625,0,82,0,0,0
1,39.0625,0,80,0,0,0
1,64.0625,0,78,0,0,0
1,89.0625,0,1023,0,0,0
1,114.0625,0,495,636,992,457
1,139.0625,0,373,0,0,0
1,164.0625,0,244,0,0,0
1,189.0625,0,187,0,0,0
1,15.625,1,84,0,0,0
1,40.625,1,84,0,0,0
1,65.625,1,83,0,0,0
1,90.625,1,1023,0,0,0
1,115.625,1,500,638,1008,389
1,140.625,1,371,0,0,0
1,165.625,1,244,0,0,0
1,190.625,1,189,0,0,0
1,17.1875,2,82,0,0,0
1,42.1875,2,85,0,0,0
1,67.1875,2,85,0,0,0
1,92.1875,2,1023,0,0,0
1,117.1875,2,496,634,976,323
1,142.1875,2,351,0,0,0
1,167.1875,2,237,0,0,0
1,192.1875,2,186,0,0,0
1,18.75,3,85,0,0,0
1,43.75,3,85,0,0,0
1,68.75,3,85,0,0,0
1,93.75,3,1023,0,0,0
1,118.75,3,500,641,1032,256
1,143.75,3,351,0,0,0
1,168.75,3,234,0,0,0
1,193.75,3,186,0,0,0
1,20.3125,4,83,0,0,0
1,45.3125,4,84,0,0,0
1,70.3125,4,82,0,0,0
1,95.3125,4,1023,0,0,0
1,120.3125,4,489,637,1000,219
1,145.3125,4,341,0,0,0
1,170.3125,4,232,0,0,0
1,195.3125,4,185,0,0,0
1,21.875,5,81,0,0,0
1,46.875,5,81,0,0,0
1,96.875,5,1023,0,0,0
1,121.875,5,483,638,1008,135
1,146.875,5,328,0,0,0
1,171.875,5,225,0,0,0
1,196.875,5,181,0,0,0
1,23.4375,6,85,0,0,0
1,48.4375,6,87,0,0,0
1,98.4375,6,90,0,0,0
1,123.4375,6,996,0,0,0
1,148.4375,6,477,0,0,68
1,173.4375,6,318,0,0,0
1,198.4375,6,221,0,0,0
1,0.0,7,84,0,0,0
1,25.0,7,82,0,0,0
1,50.0,7,83,0,0,0
1,75.0,7,112,0,0,0
1,100.0,7,912,0,0,0
1,125.0,7,471,638,1008,1023
1,150.0,7,311,0,0,0
1,175.0,7,217,0,0,0
1,1.5625,8,81,0,0,0
1,26.5625,8,85,0,0,0
1,51.5625,8,77,0,0,0
1,76.5625,8,156,0,0,0
1,101.5625,8,809,636,992,988
1,126.5625,8,460,0,0,0
1,151.5625,8,293,0,0,0
1,176.5625,8,209,0,0,0
1,3.125,9,83,0,0,0
1,28.125,9,80,0,0,0
1,53.125,9,80,0,0,0
1,78.125,9,254,0,0,0
1,103.125,9,698,637,1000,903
1,128.125,9,447,0,0,0
1,153.125,9,293,0,0,0
1,178.125,9,216,0,0,0
1,4.6875,10,83,0,0,0
1,29.6875,10,80,0,0,0
1,54.6875,10,78,0,0,0
1,79.6875,10,378,0,0,0
1,104.6875,10,614,637,1000,837
1,129.6875,10,439,0,0,0
1,154.6875,10,285,0,0,0
1,179.6875,10,209,0,0,0
1,6.25,11,83,0,0,0
1,31.25,11,81,0,0,0
1,56.25,11,79,0,0,0
1,81.25,11,511,0,0,0
1,106.25,11,571,638,1008,771
1,131.25,11,435,0,0,0
1,156.25,11,280,0,0,0
1,181.25,11,210,0,0,0
1,7.8125,12,82,0,0,0
1,32.8125,12,82,0,0,0
1,57.8125,12,82,0,0,0
1,82.8125,12,654,0,0,0
1,107.8125,12,547,638,1008,714
1,157.8125,12,272,0,0,0
1,182.8125,12,202,0,0,0
1,9.375,13,81,0,0,0
1,34.375,13,84,0,0,0
1,59.375,13,82,0,0,0
1,84.375,13,786,0,0,0
1,109.375,13,529,638,1008,648
1,134.375,13,413,0,0,0
1,159.375,13,265,0,0,0
1,184.375,13,200,0,0,0
1,10.9375,14,84,0,0,0
1,35.9375,14,83,0,0,0
1,60.9375,14,82,0,0,0
1,85.9375,14,909,0,0,0
1,110.9375,14,516,636,992,581
1,135.9375,14,400,0,0,0
1,160.9375,14,255,0,0,0
1,185.9375,14,198,0,0,0
1,12.5,15,80,0,0,0
1,37.5,15,80,0,0,0
1,87.5,15,999,0,0,0
1,112.5,15,511,639,1016,514
1,137.5,15,391,0,0,0
1,162.5,15,255,0,0,0
1,187.5,15,195,0,0,0
2,14.0625,0,80,0,0,0
2,39.0625,0,80,0,0,0
2,64.0625,0,79,0,0,0
2,89.0625,0,1023,0,0,0
2,114.0625,0,489,633,968,465
2,139.0625,0,367,0,0,0
2,164.0625,0,241,0,0,0
2,189.0625,0,183,0,0,0
2,15.625,1,81,0,0,0
2,40.625,1,72,0,0,0
2,65.625,1,80,0,0,0
2,90.625,1,1023,0,0,0
2,115.625,1,482,631,952,401
2,140.625,1,358,0,0,0
2,165.625,1,237,0,0,0
2,190.625,1,181,0,0,0
2,17.1875,2,82,0,0,0
2,42.1875,2,81,0,0,0
2,67.1875,2,80,0,0,0
2,92.1875,2,1023,0,0,0
2,117.1875,2,481,633,968,333
2,142.1875,2,351,0,0,0
2,167.1875,2,239,0,0,0
2,192.1875,2,189,0,0,0
2,18.75,3,79,0,0,0
2,43.75,3,81,0,0,0
2,68.75,3,81,0,0,0
2,93.75,3,1023,0,0,0
2,118.75,3,477,634,976,268
2,143.75,3,336,0,0,0
2,168.75,3,227,0,0,0
2,193.75,3,179,0,0,0
2,20.3125,4,83,0,0,0
2,45.3125,4,80,0,0,0
2,70.3125,4,77,0,0,0
2,95.3125,4,1023,0,0,0
2,120.3125,4,470,632,960,213
2,145.3125,4,327,0,0,0
2,170.3125,4,222,0,0,0
2,195.3125,4,171,0,0,0
2,21.875,5,80,0,0,0
2,46.875,5,81,0,0,0
2,71.875,5,85,0,0,0
2,96.875,5,1023,0,0,0
2,121.875,5,469,632,960,144
2,171.875,5,219,0,0,0
2,196.875,5,172,0,0,0
2,23.4375,6,82,0,0,0
2,48.4375,6,80,0,0,0
2,73.4375,6,80,0,0,0
2,98.4375,6,87,0,0,0
2,123.4375,6,1006,0,0,0
2,148.4375,6,463,632,960,78
2,173.4375,6,312,0,0,0
2,198.4375,6,216,0,0,0
2,0.0,7,83,0,0,0
2,25.0,7,80,0,0,0
2,50.0,7,80,0,0,0
2,75.0,7,105,0,0,0
2,100.0,7,903,0,0,0
2,125.0,7,452,631,952,11
2,150.0,7,300,0,0,0
2,175.0,7,212,0,0,0
2,1.5625,8,78,0,0,0
2,26.5625,8,80,0,0,0
2,51.5625,8,80,0,0,0
2,76.5625,8,153,0,0,0
2,101.5625,8,804,632,960,978
2,126.5625,8,449,0,0,0
2,151.5625,8,295,0,0,0
2,176.5625,8,210,0,0,0
2,3.125,9,82,0,0,0
2,28.125,9,81,0,0,0
2,53.125,9,80,0,0,0
2,78.125,9,250,0,0,0
2,103.125,9,683,633,968,913
2,128.125,9,441,0,0,0
2,153.125,9,288,0,0,0
2,178.125,9,203,0,0,0
2,4.6875,10,78,0,0,0
2,29.6875,10,81,0,0,0
2,54.6875,10,82,0,0,0
2,79.6875,10,383,0,0,0
2,104.6875,10,612,635,984,844
2,129.6875,10,434,0,0,0
2,154.6875,10,279,0,0,0
2,179.6875,10,200,0,0,0
2,6.25,11,81,0,0,0
2,31.25,11,79,0,0,0
2,56.25,11,80,0,0,0
2,81.25,11,514,0,0,0
2,106.25,11,561,634,976,781
2,131.25,11,418,0,0,0
2,156.25,11,269,0,0,0
2,181.25,11,201,0,0,0
2,7.8125,12,79,0,0,0
2,32.8125,12,79,0,0,0
2,57.8125,12,79,0,0,0
2,107.8125,12,531,632,960,723
2,132.8125,12,412,0,0,0
2,157.8125,12,264,0,0,0
2,182.8125,12,197,0,0,0
2,9.375,13,81,0,0,0
2,34.375,13,80,0,0,0
2,59.375,13,77,0,0,0
2,84.375,13,789,0,0,0
2,109.375,13,514,631,952,658
2,134.375,13,401,0,0,0
2,159.375,13,255,0,0,0
2,184.375,13,192,0,0,0
2,10.9375,14,80,0,0,0
2,35.9375,14,80,0,0,0
2,60.9375,14,78,0,0,0
2,85.9375,14,914,0,0,0
2,110.9375,14,502,634,976,589
2,135.9375,14,394,0,0,0
2,160.9375,14,255,0,0,0
2,185.9375,14,193,0,0,0
2,12.5,15,82,0,0,0
2,37.5,15,79,0,0,0
2,62.5,15,78,0,0,0
2,87.5,15,1009,0,0,0
2,112.5,15,493,634,976,525
2,137.5,15,381,0,0,0
2,162.5,15,247,0,0,0
2,187.5,15,189,0,0,0
77,14.0625,0,81,0,0,0
77,39.0625,0,81,0,0,0
77,64.0625,0,80,0,0,0
77,89.0625,0,1023,0,0,0
77,114.0625,0,466,648,1088,467
77,139.0625,0,353,0,0,0
77,164.0625,0,232,0,0,0
77,189.0625,0,181,0,0,0
77,15.625,1,80,0,0,0
77,40.625,1,80,0,0,0
77,65.625,1,80,0,0,0
77,90.625,1,1023,0,0,0
77,115.625,1,463,648,1088,405
77,140.625,1,345,0,0,0
77,165.625,1,228,0,0,0
77,190.625,1,180,0,0,0
77,17.1875,2,81,0,0,0
77,42.1875,2,83,0,0,0
77,67.1875,2,83,0,0,0
77,92.1875,2,1023,0,0,0
77,117.1875,2,462,647,1080,339
77,142.1875,2,331,0,0,0
77,167.1875,2,225,0,0,0
77,192.1875,2,181,0,0,0
77,18.75,3,84,0,0,0
77,43.75,3,82,0,0,0
77,68.75,3,81,0,0,0
77,93.75,3,1023,0,0,0
77,118.75,3,460,649,1096,276
77,143.75,3,325,0,0,0
77,168.75,3,219,0,0,0
77,193.75,3,176,0,0,0
77,20.3125,4,82,0,0,0
77,45.3125,4,82,0,0,0
77,70.3125,4,82,0,0,0
77,95.3125,4,1023,0,0,0
77,120.3125,4,456,648,1088,215
77,145.3125,4,317,0,0,0
77,170.3125,4,217,0,0,0
77,195.3125,4,175,0,0,0
77,21.875,5,80,0,0,0
77,46.875,5,82,0,0,0
77,96.875,5,968,0,0,0
77,121.875,5,453,649,1096,149
77,146.875,5,307,0,0,0
77,171.875,5,212,0,0,0
77,196.875,5,170,0,0,0
77,23.4375,6,82,0,0,0
77,48.4375,6,83,0,0,0
77,98.4375,6,93,0,0,0
77,123.4375,6,874,0,0,0
77,148.4375,6,444,648,1088,85
77,173.4375,6,297,0,0,0
77,198.4375,6,209,0,0,0
77,0.0,7,78,0,0,0
77,25.0,7,78,0,0,0
77,50.0,7,78,0,0,0
77,75.0,7,110,0,0,0
77,100.0,7,771,0,0,0
77,125.0,7,442,649,1096,17
77,150.0,7,292,0,0,0
77,175.0,7,209,0,0,0
77,1.5625,8,81,0,0,0
77,26.5625,8,85,0,0,0
77,51.5625,8,80,0,0,0
77,76.5625,8,165,0,0,0
77,101.5625,8,672,649,1096,981
77,126.5625,8,434,0,0,0
77,151.5625,8,282,0,0,0
77,176.5625,8,203,0,0,0
77,3.125,9,83,0,0,0
77,28.125,9,81,0,0,0
77,53.125,9,81,0,0,0
77,78.125,9,255,0,0,0
77,103.125,9,602,649,1096,917
77,128.125,9,421,0,0,0
77,153.125,9,276,0,0,0
77,178.125,9,203,0,0,0
77,4.6875,10,82,0,0,0
77,29.6875,10,82,0,0,0
77,54.6875,10,81,0,0,0
77,79.6875,10,382,0,0,0
77,104.6875,10,559,649,1096,852
77,129.6875,10,413,0,0,0
77,154.6875,10,270,0,0,0
77,179.6875,10,197,0,0,0
77,6.25,11,81,0,0,0
77,31.25,11,81,0,0,0
77,56.25,11,80,0,0,0
77,81.25,11,519,0,0,0
77,106.25,11,528,648,1088,788
77,131.25,11,403,0,0,0
77,156.25,11,263,0,0,0
77,181.25,11,198,0,0,0
77,7.8125,12,82,0,0,0
77,32.8125,12,84,0,0,0
77,57.8125,12,82,0,0,0
77,82.8125,12,660,0,0,0
77,107.8125,12,503,648,1088,725
77,157.8125,12,255,0,0,0
77,182.8125,12,192,0,0,0
77,9.375,13,81,0,0,0
77,34.375,13,82,0,0,0
77,59.375,13,79,0,0,0
77,84.375,13,791,0,0,0
77,109.375,13,485,648,1088,661
77,134.375,13,383,0,0,0
77,159.375,13,250,0,0,0
77,184.375,13,189,0,0,0
77,10.9375,14,84,0,0,0
77,35.9375,14,83,0,0,0
77,60.9375,14,85,0,0,0
77,85.9375,14,913,0,0,0
77,110.9375,14,479,648,1088,597
77,135.9375,14,373,0,0,0
77,160.9375,14,246,0,0,0
77,185.9375,14,190,0,0,0
77,12.5,15,80,0,0,0
77,37.5,15,81,0,0,0
77,87.5,15,1003,0,0,0
77,112.5,15,471,649,1096,531
77,137.5,15,365,0,0,0
77,162.5,15,239,0,0,0
77,187.5,15,185,0,0,0
78,14.0625,0,77,0,0,0
78,39.0625,0,79,0,0,0
78,64.0625,0,79,0,0,0
78,89.0625,0,1023,0,0,0
78,114.0625,0,468,646,1072,466
78,139.0625,0,364,0,0,0
78,164.0625,0,240,0,0,0
78,189.0625,0,184,0,0,0
78,15.625,1,82,0,0,0
78,40.625,1,76,0,0,0
78,65.625,1,81,0,0,0
78,90.625,1,1023,0,0,0
78,115.625,1,466,646,1072,405
78,140.625,1,353,0,0,0
78,165.625,1,237,0,0,0
78,190.625,1,185,0,0,0
78,17.1875,2,80,0,0,0
78,42.1875,2,81,0,0,0
78,67.1875,2,81,0,0,0
78,92.1875,2,1023,0,0,0
78,117.1875,2,462,645,1064,340
78,142.1875,2,344,0,0,0
78,167.1875,2,236,0,0,0
78,192.1875,2,188,0,0,0
78,18.75,3,81,0,0,0
78,43.75,3,81,0,0,0
78,68.75,3,81,0,0,0
78,93.75,3,1023,0,0,0
78,118.75,3,463,644,1056,276
78,143.75,3,336,0,0,0
78,168.75,3,227,0,0,0
78,193.75,3,185,0,0,0
78,20.3125,4,82,0,0,0
78,45.3125,4,83,0,0,0
78,70.3125,4,81,0,0,0
78,95.3125,4,1023,0,0,0
78,120.3125,4,459,645,1064,215
78,145.3125,4,323,0,0,0
78,170.3125,4,222,0,0,0
78,195.3125,4,174,0,0,0
78,21.875,5,81,0,0,0
78,46.875,5,81,0,0,0
78,71.875,5,85,0,0,0
78,96.875,5,1010,0,0,0
78,121.875,5,455,645,1064,150
78,171.875,5,220,0,0,0
78,196.875,5,177,0,0,0
78,23.4375,6,80,0,0,0
78,48.4375,6,82,0,0,0
78,73.4375,6,80,0,0,0
78,98.4375,6,92,0,0,0
78,123.4375,6,427,0,0,0
78,148.4375,6,451,646,1072,86
78,173.4375,6,306,0,0,0
78,198.4375,6,216,0,0,0
78,0.0,7,83,0,0,0
78,25.0,7,79,0,0,0
78,50.0,7,80,0,0,0
78,75.0,7,111,0,0,0
