Channel,Amplitude,mean,std
51,200,686.0,
51,300,923.0,
51,400,923.0,
51,500,923.0,
51,600,923.0,
52,100,296.0,
52,200,684.0,
52,300,923.0,
52,400,923.0,
52,500,923.0,
52,600,923.0,
53,100,292.0,
53,200,662.0,
53,300,923.0,
53,400,923.0,
53,500,923.0,
53,600,923.0,
54,100,301.0,
54,200,691.0,
54,300,923.0,
54,400,923.0,
54,500,923.0,
54,600,923.0,
55,100,296.0,
55,200,684.0,
55,300,923.0,
55,400,923.0,
55,500,923.0,
55,600,923.0,
56,100,282.0,
56,200,656.0,
56,300,923.0,
56,400,923.0,
56,500,923.0,
56,600,923.0,
57,100,26.0,
57,200,26.0,
57,300,26.0,
57,400,27.0,
57,500,27.0,
57,600,29.0,
58,100,302.0,
58,200,682.0,
58,300,923.0,
58,400,923.0,
58,500,923.0,
58,600,923.0,
59,100,325.0,
59,200,710.0,
59,300,923.0,
59,400,923.0,
59,500,923.0,
59,600,923.0,
60,100,296.0,
60,200,676.0,
60,300,923.0,
60,400,923.0,
60,500,923.0,
60,600,923.0,
61,100,297.0,
61,200,676.0,
61,300,923.0,
61,400,923.0,
61,500,923.0,
61,600,923.0,
62,100,291.0,
62,200,670.0,
62,300,923.0,
62,400,923.0,
62,500,923.0,
62,600,923.0,
63,100,300.0,
63,200,688.0,
63,300,923.0,
63,400,923.0,
63,500,923.0,
63,600,923.0,
64,100,296.0,
64,200,677.0,
64,300,923.0,
64,400,923.0,
64,500,923.0,
64,600,923.0,
65,100,290.0,
65,200,664.0,
65,300,923.0,
65,400,923.0,
65,500,923.0,
65,600,923.0,
66,100,292.0,
66,200,668.0,
66,300,923.0,
66,400,923.0,
66,500,923.0,
66,600,923.0,
67,100,293.0,
67,200,668.0,
67,300,923.0,
67,400,923.0,
67,500,923.0,
67,600,923.0,
68,100,293.0,
68,200,670.0,
68,300,923.0,
68,400,923.0,
68,500,923.0,
68,600,923.0,
69,100,300.0,
69,200,684.0,
69,300,923.0,
69,400,923.0,
69,500,923.0,
69,600,923.0,
70,100,289.0,
70,200,662.0,
70,300,923.0,
70,400,923.0,
70,500,923.0,
70,600,923.0,
71,100,285.0,
71,200,657.0,
71,300,923.0,
71,400,923.0,
71,500,923.0,
71,600,923.0,
72,100,283.0,
72,200,650.0,
72,300,923.0,
72,400,923.0,
72,500,923.0,
72,600,923.0,
73,100,278.0,
73,200,657.0,
73,300,923.0,
73,400,923.0,
73,500,923.0,
73,600,923.0,
74,100,283.0,
74,200,654.0,
74,300,923.0,
74,400,923.0,
74,500,923.0,
74,600,923.0,
75,100,-100.0,
75,200,-100.0,
75,300,-100.0,
75,400,-100.0,
75,500,-100.0,
75,600,-100.0,
76,100,-100.0,
76,200,-100.0,
76,300,-100.0,
76,400,-100.0,
76,500,-100.0,
76,600,-100.0,
77,100,266.0,
77,200,646.0,
77,300,923.0,
77,400,923.0,
77,500,923.0,
77,600,923.0,
78,100,276.0,
78,200,650.0,
78,300,923.0,
78,400,923.0,
78,500,923.0,
78,600,923.0,
79,100,283.0,
79,200,663.0,
79,300,923.0,
79,400,923.0,
79,500,923.0,
79,600,923.0,
80,100,298.0,
80,200,682.0,
80,300,923.0,
80,400,923.0,
80,500,923.0,
80,600,923.0,
81,100,296.0,
81,200,686.0,
81,300,923.0,
81,400,923.0,
81,500,923.0,
81,600,923.0,
82,100,308.0,
82,200,705.0,
82,300,923.0,
82,400,923.0,
82,500,923.0,
82,600,923.0,
83,100,299.0,
83,200,678.0,
83,300,923.0,
83,400,923.0,
83,500,923.0,
83,600,923.0,
84,100,311.0,
84,200,710.0,
84,300,923.0,
84,400,923.0,
84,500,923.0,
84,600,923.0,
85,100,283.0,
85,200,678.0,
85,300,923.0,
85,400,923.0,
85,500,923.0,
85,600,923.0,
86,100,291.0,
86,200,682.0,
86,300,923.0,
86,400,923.0,
86,500,923.0,
86,600,923.0,
87,100,292.0,
87,200,684.0,
87,300,923.0,
87,400,923.0,
87,500,923.0,
87,600,923.0,
88,100,280.0,
88,200,649.0,
88,300,923.0,
88,400,923.0,
88,500,923.0,
88,600,923.0,
89,100,304.0,
89,200,694.0,
89,300,923.0,
89,400,923.0,
89,500,923.0,
89,600,923.0,
90,100,295.0,
90,200,694.0,
90,300,923.0,
90,400,923.0,
90,500,923.0,
90,600,923.0,
91,100,289.0,
91,200,676.0,
91,300,923.0,
91,400,923.0,
91,500,923.0,
91,600,923.0,
92,100,266.0,
92,200,662.0,
92,300,923.0,
92,400,923.0,
92,500,923.0,
92,600,923.0,
93,100,281.0,
93,200,663.0,
93,300,923.0,
93,400,923.0,
93,500,923.0,
93,600,923.0,
94,100,309.0,
94,200,700.0,
94,300,923.0,
94,400,923.0,
94,500,923.0,
94,600,923.0,
95,100,-2.0,
95,200,-2.0,
95,300,-2.0,
95,400,-1.0,
95,500,0.0,
95,600,0.0,
96,100,314.0,
96,200,709.0,
96,300,923.0,
96,400,923.0,
96,500,923.0,
96,600,923.0,
97,100,303.0,
97,200,700.0,
97,300,923.0,
97,400,923.0,
97,500,923.0,
97,600,923.0,
98,100,300.0,
98,200,693.0,
98,300,923.0,
98,400,923.0,
98,500,923.0,
98,600,923.0,
99,100,310.0,
99,200,711.0,
99,300,923.0,
99,400,923.0,
99,500,923.0,
99,600,923.0,
100,100,298.0,
100,200,686.0,
100,300,923.0,
100,400,923.0,
100,500,923.0,
100,600,923.0,
101,100,310.0,
101,200,705.0,
101,300,923.0,
101,400,923.0,
101,500,923.0,
101,600,923.0,
102,100,301.0,
102,200,691.0,
102,300,923.0,
102,400,923.0,
102,500,923.0,
102,600,923.0,
103,100,307.0,
103,200,700.0,
103,300,923.0,
103,400,923.0,
103,500,923.0,
103,600,923.0,
104,100,309.0,
104,200,708.0,
104,300,923.0,
104,400,923.0,
104,500,923.0,
104,600,923.0,
105,100,316.0,
105,200,713.0,
105,300,923.0,
105,400,923.0,
105,500,923.0,
105,600,923.0,
106,100,298.0,
106,200,689.0,
106,300,923.0,
106,400,923.0,
106,500,923.0,
106,600,923.0,
107,100,295.0,
107,200,685.0,
107,300,923.0,
107,400,923.0,
107,500,923.0,
107,600,923.0,
108,100,286.0,
108,200,673.0,
108,300,923.0,
108,400,923.0,
108,500,923.0,
108,600,923.0,
109,100,248.0,
109,200,636.0,
109,300,923.0,
109,400,923.0,
109,500,923.0,
109,600,923.0,
110,100,288.0,
110,200,664.0,
110,300,923.0,
110,400,923.0,
110,500,923.0,
110,600,923.0,
111,100,264.0,
111,200,648.0,
111,300,923.0,
111,400,923.0,
111,500,923.0,
111,600,923.0,
112,100,254.0,
112,200,622.0,
112,300,923.0,
112,400,923.0,
112,500,923.0,
112,600,923.0,
113,100,-100.0,
113,200,-100.0,
113,300,-100.0,
113,400,-100.0,
113,500,-100.0,
113,600,-100.0,
114,100,-100.0,
114,200,-100.0,
114,300,-100.0,
114,400,-100.0,
114,500,-100.0,
114,600,-100.0,
115,100,278.0,
115,200,657.0,
115,300,923.0,
115,400,923.0,
115,500,923.0,
115,600,923.0,
116,100,264.0,
116,200,641.0,
116,300,923.0,
116,400,923.0,
116,500,923.0,
116,600,923.0,
117,100,295.0,
117,200,696.0,
117,300,923.0,
117,400,923.0,
117,500,923.0,
117,600,923.0,
118,100,306.0,
118,200,684.0,
118,300,923.0,
118,400,923.0,
118,500,923.0,
118,600,923.0,
119,100,316.0,
119,200,708.0,
119,300,923.0,
119,400,923.0,
119,500,923.0,
119,600,923.0,
120,100,300.0,
120,200,686.0,
120,300,923.0,
120,400,923.0,
120,500,923.0,
120,600,923.0,
121,100,305.0,
121,200,691.0,
121,300,923.0,
121,400,923.0,
121,500,923.0,
121,600,923.0,
122,100,303.0,
122,200,697.0,
122,300,923.0,
122,400,923.0,
122,500,923.0,
122,600,923.0,
123,100,301.0,
123,200,691.0,
123,300,923.0,
123,400,923.0,
123,500,923.0,
123,600,923.0,
124,100,316.0,
124,200,697.0,
124,300,923.0,
124,400,923.0,
124,500,923.0,
124,600,923.0,
125,100,289.0,
125,200,687.0,
125,300,923.0,
125,400,923.0,
125,500,923.0,
125,600,923.0,
126,100,307.0,
126,200,708.0,
126,300,923.0,
126,400,923.0,
126,500,923.0,
126,600,923.0,
127,100,305.0,
127,200,697.0,
127,300,923.0,
127,400,923.0,
127,500,923.0,
127,600,923.0,
128,100,300.0,
128,200,688.0,
128,300,923.0,
128,400,923.0,
128,500,923.0,
128,600,923.0,
129,100,309.0,
129,200,687.0,
129,300,923.0,
129,400,923.0,
129,500,923.0,
129,600,923.0,
130,100,316.0,
130,200,709.0,
130,300,923.0,
130,400,923.0,
130,500,923.0,
130,600,923.0,
131,100,300.0,
131,200,692.0,
131,300,923.0,
131,400,923.0,
131,500,923.0,
131,600,923.0,
132,100,298.0,
132,200,691.0,
132,300,923.0,
132,400,923.0,
132,500,923.0,
132,600,923.0,
133,100,2.0,
133,200,3.0,
133,300,2.0,
133,400,3.0,
133,500,6.0,
133,600,4.0,
134,100,294.0,
134,200,688.0,
134,300,923.0,
134,400,923.0,
134,500,923.0,
134,600,923.0,
135,100,305.0,
135,200,708.0,
135,300,923.0,
135,400,923.0,
135,500,923.0,
135,600,923.0,
136,100,296.0,
136,200,685.0,
136,300,923.0,
136,400,923.0,
136,500,923.0,
136,600,923.0,
137,100,302.0,
137,200,700.0,
137,300,923.0,
137,400,923.0,
137,500,923.0,
137,600,923.0,
138,100,298.0,
138,200,689.0,
138,300,923.0,
138,400,923.0,
138,500,923.0,
138,600,923.0,
139,100,293.0,
139,200,684.0,
139,300,923.0,
139,400,923.0,
139,500,923.0,
139,600,923.0,
140,100,283.0,
140,200,670.0,
140,300,923.0,
140,400,923.0,
140,500,923.0,
140,600,923.0,
141,100,295.0,
141,200,679.0,
141,300,923.0,
141,400,923.0,
141,500,923.0,
141,600,923.0,
142,100,300.0,
142,200,697.0,
142,300,923.0,
142,400,923.0,
142,500,923.0,
142,600,923.0,
143,100,285.0,
143,200,671.0,
143,300,923.0,
143,400,923.0,
143,500,923.0,
143,600,923.0,
144,100,298.0,
144,200,688.0,
144,300,923.0,
144,400,923.0,
144,500,923.0,
144,600,923.0,
145,100,295.0,
145,200,687.0,
145,300,923.0,
145,400,923.0,
145,500,923.0,
145,600,923.0,
146,100,298.0,
146,200,692.0,
146,300,923.0,
146,400,923.0,
146,500,923.0,
146,600,923.0,
147,100,308.0,
147,200,705.0,
147,300,923.0,
147,400,923.0,
147,500,923.0,
147,600,923.0,
148,100,299.0,
148,200,687.0,
148,300,923.0,
148,400,923.0,
148,500,923.0,
148,600,923.0,
149,100,269.0,
149,200,653.0,
149,300,923.0,
149,400,923.0,
149,500,923.0,
149,600,923.0,
150,100,266.0,
150,200,647.0,
150,300,923.0,
150,400,923.0,
150,500,923.0,
150,600,923.0,
151,100,-100.0,
151,200,-100.0,
151,300,-100.0,
151,400,-100.0,
151,500,-100.0,
151,600,-100.0,
