Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,14.0625,0,82,0,0,0
1,39.0625,0,86,0,0,0
1,64.0625,0,87,0,0,0
1,89.0625,0,485,0,0,0
1,114.0625,0,262,223,223,501
1,139.0625,0,212,0,0,0
1,164.0625,0,155,0,0,0
1,189.0625,0,126,0,0,0
1,15.625,1,80,0,0,0
1,40.625,1,83,0,0,0
1,65.625,1,81,0,0,0
1,90.625,1,474,0,0,0
1,115.625,1,255,209,209,442
1,140.625,1,209,0,0,0
1,165.625,1,156,0,0,0
1,190.625,1,132,0,0,0
1,17.1875,2,80,0,0,0
1,42.1875,2,79,0,0,0
1,67.1875,2,81,0,0,0
1,92.1875,2,464,0,0,0
1,117.1875,2,255,211,211,373
1,142.1875,2,205,0,0,0
1,192.1875,2,132,0,0,0
1,18.75,3,83,0,0,0
1,43.75,3,80,0,0,0
1,68.75,3,84,0,0,0
1,93.75,3,443,0,0,0
1,118.75,3,253,211,211,308
1,143.75,3,201,0,0,0
1,168.75,3,153,0,0,0
1,193.75,3,133,0,0,0
1,20.3125,4,84,0,0,0
1,45.3125,4,82,0,0,0
1,70.3125,4,83,0,0,0
1,95.3125,4,424,0,0,0
1,120.3125,4,254,219,219,251
1,145.3125,4,192,0,0,0
1,170.3125,4,152,0,0,0
1,195.3125,4,128,0,0,0
1,21.875,5,85,0,0,0
1,46.875,5,82,0,0,0
1,96.875,5,395,0,0,0
1,146.875,5,196,0,0,0
1,171.875,5,150,0,0,0
1,196.875,5,132,0,0,0
1,23.4375,6,81,0,0,0
1,48.4375,6,82,0,0,0
1,73.4375,6,84,0,0,0
1,98.4375,6,84,0,0,0
1,123.4375,6,370,0,0,0
1,148.4375,6,253,209,209,119
1,173.4375,6,190,0,0,0
1,198.4375,6,152,0,0,0
1,0.0,7,78,0,0,0
1,25.0,7,80,0,0,0
1,50.0,7,85,0,0,0
1,75.0,7,94,0,0,0
1,100.0,7,352,0,0,0
1,125.0,7,252,221,221,44
1,150.0,7,188,0,0,0
1,175.0,7,146,0,0,0
1,1.5625,8,80,0,0,0
1,26.5625,8,80,0,0,0
1,51.5625,8,81,0,0,0
1,76.5625,8,101,0,0,0
1,101.5625,8,326,218,218,1021
1,126.5625,8,245,0,0,0
1,151.5625,8,185,0,0,0
1,176.5625,8,146,0,0,0
1,3.125,9,81,0,0,0
1,28.125,9,81,0,0,0
1,78.125,9,130,0,0,0
1,103.125,9,306,211,211,951
1,128.125,9,242,0,0,0
1,153.125,9,183,0,0,0
1,178.125,9,145,0,0,0
1,4.6875,10,83,0,0,0
1,29.6875,10,81,0,0,0
1,54.6875,10,82,0,0,0
1,79.6875,10,185,0,0,0
1,104.6875,10,298,226,226,883
1,129.6875,10,241,0,0,0
1,154.6875,10,177,0,0,0
1,179.6875,10,142,0,0,0
1,6.25,11,84,0,0,0
1,31.25,11,81,0,0,0
1,56.25,11,77,0,0,0
1,81.25,11,237,0,0,0
1,106.25,11,277,207,207,822
1,131.25,11,234,0,0,0
1,156.25,11,174,0,0,0
1,181.25,11,141,0,0,0
1,7.8125,12,83,0,0,0
1,32.8125,12,84,0,0,0
1,57.8125,12,82,0,0,0
1,82.8125,12,312,0,0,0
1,107.8125,12,273,219,219,764
1,132.8125,12,228,0,0,0
1,182.8125,12,143,0,0,0
1,9.375,13,82,0,0,0
1,34.375,13,83,0,0,0
1,84.375,13,375,0,0,0
1,134.375,13,228,0,0,0
1,159.375,13,169,0,0,0
1,184.375,13,138,0,0,0
1,10.9375,14,82,0,0,0
1,35.9375,14,84,0,0,0
1,60.9375,14,81,0,0,0
1,85.9375,14,424,0,0,0
1,110.9375,14,265,213,213,629
1,185.9375,14,137,0,0,0
1,12.5,15,82,0,0,0
1,37.5,15,82,0,0,0
1,62.5,15,84,0,0,0
1,87.5,15,456,0,0,0
1,112.5,15,262,211,211,563
1,137.5,15,220,0,0,0
1,162.5,15,164,0,0,0
1,187.5,15,139,0,0,0
2,14.0625,0,80,0,0,0
2,39.0625,0,77,0,0,0
2,64.0625,0,80,0,0,0
2,89.0625,0,477,0,0,0
2,139.0625,0,205,0,0,0
2,164.0625,0,154,0,0,0
2,189.0625,0,127,0,0,0
2,15.625,1,82,0,0,0
2,65.625,1,81,0,0,0
2,90.625,1,476,0,0,0
2,115.625,1,249,194,194,481
2,140.625,1,204,0,0,0
2,165.625,1,147,0,0,0
2,190.625,1,127,0,0,0
2,17.1875,2,80,0,0,0
2,42.1875,2,81,0,0,0
2,67.1875,2,80,0,0,0
2,92.1875,2,464,0,0,0
2,117.1875,2,248,209,209,386
2,142.1875,2,200,0,0,0
