Time,ToA_mean,ToA_std,Amplitude
103.125,919.8,139.94534647497215,100
104.6875,850.8,144.08747343193994,100
106.25,784.8,138.57741518732408,100
107.8125,718.6,139.35135449646694,100
109.375,664.4,138.72022202981077,100
110.9375,594.4,141.0205658760452,100
112.5,528.8,139.50340497636608,100
114.0625,393.3333333333333,146.9364942188745,100
115.625,407.6,140.22588919311582,100
117.1875,337.0,140.3228420464751,100
118.75,272.0,139.69072982843207,100
121.875,127.5,145.50715904495328,100
126.5625,440.0,442.82953831017187,100
101.5625,1021.6,0.8944271909999063,200
103.125,952.6,1.6733200530681545,200
104.6875,885.2,1.4832396974191289,200
106.25,820.0,1.8708286933869744,200
107.8125,764.6,0.5477225575051505,200
109.375,697.5,1.7320508075688883,200
110.9375,632.0,2.449489742783163,200
112.5,563.6,0.5477225575051765,200
114.0625,504.75,2.629955639676581,200
115.625,440.6,1.6733200530681556,200
117.1875,373.0,0.707106781186545,200
118.75,307.4,0.8944271909999083,200
121.875,186.25,2.3629078131263075,200
101.5625,993.6,1.9493588689617884,300
103.125,925.4,0.8944271909999302,300
104.6875,857.4,0.54772255750517,300
106.25,790.2,1.3038404810405253,300
107.8125,736.2,0.8366600265340688,300
109.375,668.25,2.217355782608356,300
110.9375,602.0,0.0,300
112.5,533.8,1.3038404810405444,300
114.0625,478.6,1.5165750888103116,300
115.625,411.75,0.5000000000000047,300
117.1875,346.2,2.0493901531919203,300
118.75,278.2,1.0954451150103304,300
121.875,157.6,1.3416407864998734,300
101.5625,939.6,113.94867265571811,400
103.125,874.2,115.83911256566151,400
104.6875,790.2,115.27011755003983,400
106.25,722.2,115.2722863484541,400
107.8125,685.6,115.49588737266795,400
109.375,614.8,112.99646012154541,400
110.9375,537.8,117.51255252099666,400
112.5,466.4,115.38760765350845,400
114.0625,428.0,116.2841347734075,400
115.625,358.4,113.92892521216902,400
117.1875,285.4,120.15531615371832,400
118.75,211.2,115.27228634845412,400
121.875,305.0,346.6965531989033,400
101.5625,984.0,7.842193570679053,450
103.125,902.4,0.8944271909999063,450
104.6875,835.4,1.1401754250991336,450
106.25,769.8,0.836660026534073,450
107.8125,717.4,7.602631123499275,450
109.375,647.2,1.3038404810405309,450
110.9375,580.4,0.8944271909999103,450
112.5,512.8,0.8366600265340772,450
114.0625,456.4,0.54772255750517,450
115.625,389.4,0.5477225575051667,450
117.1875,323.8,0.8366600265340772,450
118.75,257.0,1.4142135623730916,450
121.875,135.6,0.8944271909999153,450
101.5625,946.0,0.0,925
103.125,878.4,1.673320053068146,925
104.6875,811.8,0.4472135954999691,925
106.25,757.2,0.4472135954999452,925
107.8125,688.6,0.8944271909999222,925
109.375,622.8,0.44721359549995315,925
110.9375,555.75,0.5,925
112.5,501.2,0.44721359549995315,925
114.0625,431.2,1.4832396974191335,925
115.625,365.6,1.3416407864998754,925
117.1875,300.0,0.0,925
118.75,244.8,0.44721359549995915,925
121.875,110.6,0.8944271909999143,925
101.5625,671.0,0.0,1135
103.125,603.8,4.381780460041314,1135
104.6875,535.0,0.0,1135
106.25,483.8,4.381780460041328,1135
107.8125,415.0,0.0,1135
109.375,349.4,3.577708763999661,1135
110.9375,279.0,0.0,1135
112.5,229.4,3.577708763999665,1135
114.0625,159.0,0.0,1135
115.625,90.2,4.381780460041329,1135
117.1875,23.0,0.0,1135
118.75,992.6,3.577708763999665,1135
121.875,863.0,0.0,1135
101.5625,671.0,0.0,1345
103.125,607.0,0.0,1345
104.6875,535.0,0.0,1345
106.25,480.6,3.577708763999657,1345
107.8125,415.0,0.0,1345
109.375,351.0,0.0,1345
110.9375,279.0,0.0,1345
112.5,231.0,0.0,1345
114.0625,159.0,0.0,1345
115.625,88.6,3.577708763999665,1345
117.1875,23.0,0.0,1345
118.75,992.6,3.577708763999657,1345
121.875,863.0,0.0,1345
101.5625,739.8,280.98256173648923,1450
103.125,671.8,280.06909861675206,1450
104.6875,605.8,280.0699912521868,1450
106.25,500.5,296.181813531261,1450
107.8125,483.4,279.7048444342714,1450
109.375,416.2,280.43394944264503,1450
110.9375,426.75,255.83376764349669,1450
112.5,705.6,280.61682059349187,1450
114.0625,635.4,280.80028490014035,1450
115.625,569.6,280.61682059349187,1450
117.1875,504.0,280.7089239764208,1450
118.75,448.6,279.7039506335225,1450
121.875,314.0,280.25167260874645,1450
178.125,832.0,,1450
179.6875,773.0,,1450
181.25,733.0,,1450
182.8125,647.0,,1450
184.375,59.0,,1450
187.5,965.0,,1450
189.0625,677.8,278.3373852000482,1450
190.625,599.25,290.81308429986433,1450
192.1875,599.3333333333334,293.0091011100736,1450
193.75,225.0,,1450
196.875,66.0,,1450
101.5625,674.2,4.381780460041314,1555
103.125,607.0,0.0,1555
104.6875,541.0,4.000000000000009,1555
106.25,487.0,0.0,1555
107.8125,418.2,4.381780460041334,1555
109.375,351.0,0.0,1555
110.9375,283.8,4.381780460041328,1555
112.5,231.0,0.0,1555
