Time,ToA_mean,ToA_std,Amplitude
104.6875,868.6,142.9625825172447,100
106.25,804.0,142.87582020761946,100
107.8125,735.4,139.1574647656388,100
109.375,603.0,147.22771478223794,100
110.9375,649.75,130.50766261028505,100
112.5,546.8,138.13471685278833,100
114.0625,475.2,141.23986689316865,100
115.625,415.8,139.05646335212182,100
117.1875,356.8,142.2258766891595,100
118.75,289.2,142.16785853349555,100
121.875,159.8,140.87121778418756,100
126.5625,451.75,444.2809734090954,100
128.125,313.8,420.5718725735234,100
101.5625,5.5,0.5773502691896258,200
103.125,971.75,14.840822079655839,200
104.6875,898.8,1.64316767251551,200
106.25,832.2,2.863564212655271,200
107.8125,773.0,1.5811388300842009,200
109.375,720.8,16.619265928433784,200
110.9375,643.0,3.1622776601683817,200
112.5,575.5,0.5773502691896257,200
114.0625,513.5,1.7320508075688772,200
115.625,463.6,15.899685531481428,200
117.1875,386.0,0.7071067811865425,200
118.75,318.2,1.3038404810405309,200
121.875,196.6,0.5477225575051667,200
101.5625,1001.6,0.8944271909999063,300
103.125,935.4,0.5477225575051635,300
104.6875,868.4,0.8944271909999222,300
106.25,802.8,0.44721359549995315,300
107.8125,745.0,1.4142135623730885,300
109.375,680.0,0.0,300
110.9375,611.25,1.2583057392117802,300
112.5,546.4,1.140175425099143,300
114.0625,487.0,1.5811388300841898,300
115.625,423.0,1.4142135623730951,300
117.1875,357.6,1.1401754250991336,300
118.75,290.4,2.1908902300206696,300
121.875,168.0,2.738612787525829,300
101.5625,934.0,116.27768487547385,400
103.125,868.0,114.60584627321593,400
104.6875,801.2,115.27445510606414,400
106.25,735.0,115.72596942778229,400
107.8125,677.0,115.16292806281022,400
109.375,612.6,115.49588737266795,400
110.9375,543.4,115.38327435118143,400
112.5,478.2,115.83047958115343,400
114.0625,421.6,109.34943987053614,400
115.625,355.8,115.61012066423943,400
117.1875,287.8,115.61012066423943,400
118.75,222.4,115.9495579982951,400
121.875,305.4,343.0135565834097,400
101.5625,979.4,1.1401754250991492,450
103.125,911.8,0.8366600265340772,450
104.6875,844.6,0.5477225575051505,450
106.25,780.2,0.4472135954999691,450
107.8125,722.4,0.5477225575051765,450
109.375,657.4,0.5477225575051505,450
110.9375,589.2,0.8366600265340772,450
