Channel,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,13,70,0,0,0
1,14,70,0,0,0
1,15,0,0,0,0
1,0,67,0,0,0
1,1,62,0,0,0
1,2,66,0,0,0
1,3,69,0,0,0
1,4,65,0,0,0
1,5,61,0,0,0
1,6,84,0,0,940
1,7,65,0,0,0
1,8,64,0,0,0
1,9,62,0,0,0
1,10,61,0,0,0
1,11,63,0,0,0
1,12,61,0,0,0
1,13,60,0,0,0
1,14,60,0,0,0
1,15,0,0,0,0
1,0,61,0,0,0
1,1,53,0,0,0
1,2,60,0,0,0
1,3,61,0,0,0
1,4,58,0,0,0
1,5,53,0,0,0
1,6,64,0,0,0
1,7,57,0,0,0
1,8,56,0,0,0
1,9,57,0,0,0
1,10,53,0,0,0
1,11,56,0,0,0
1,12,53,0,0,0
1,13,53,0,0,0
1,14,53,0,0,0
1,15,0,0,0,0
1,0,52,0,0,0
1,1,49,0,0,0
1,2,53,0,0,0
1,3,54,0,0,0
1,4,52,0,0,0
1,5,49,0,0,0
1,6,56,0,0,0
1,7,53,0,0,0
1,8,50,0,0,0
1,9,51,0,0,0
1,10,49,0,0,0
1,11,52,0,0,0
1,12,52,0,0,0
1,13,49,0,0,0
1,14,52,0,0,0
1,15,0,0,0,0
1,0,48,0,0,0
1,1,14,0,0,0
1,2,15,0,0,0
1,3,49,0,0,0
1,4,14,0,0,0
1,5,14,0,0,0
1,6,52,0,0,0
1,7,14,0,0,0
1,8,14,0,0,0
1,9,48,0,0,0
1,10,15,0,0,0
1,11,15,0,0,0
1,12,15,0,0,0
1,13,13,0,0,0
1,14,47,0,0,0
1,15,0,0,0,0
1,0,13,0,0,0
1,1,10,0,0,0
1,2,11,0,0,0
1,3,14,0,0,0
1,4,13,0,0,0
1,5,10,0,0,0
1,6,49,0,0,0
1,7,14,0,0,0
1,8,43,0,0,0
1,9,13,0,0,0
1,10,9,0,0,0
1,11,13,0,0,0
1,12,13,0,0,0
1,13,12,0,0,0
1,14,13,0,0,0
1,15,0,0,0,0
1,0,3,0,0,0
1,1,1,0,0,0
1,2,3,0,0,0
1,3,13,0,0,0
1,4,3,0,0,0
1,5,9,0,0,0
1,6,12,0,0,0
1,7,10,0,0,0
1,8,41,0,0,0
1,9,0,0,0,0
1,10,1,0,0,0
1,11,11,0,0,0
1,12,11,0,0,0
1,13,9,0,0,0
1,14,11,0,0,0
1,15,0,0,0,0
1,0,11,0,0,0
1,1,8,0,0,0
1,2,2,0,0,0
1,3,10,0,0,0
1,4,8,0,0,0
1,5,8,0,0,0
1,6,12,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,0,0,0
1,10,0,0,0,0
1,11,0,0,0,0
1,12,0,0,0,0
1,13,0,0,0,0
1,14,0,0,0,0
1,15,0,0,0,0
1,0,0,0,0,0
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
2,7,42,0,0,0
2,8,13,0,0,0
2,9,13,0,0,0
2,10,11,0,0,0
2,11,12,0,0,0
2,12,13,0,0,0
2,13,13,0,0,0
2,14,11,0,0,0
2,15,0,0,0,0
2,0,11,0,0,0
2,1,10,0,0,0
2,2,12,0,0,0
2,3,13,0,0,0
2,4,13,0,0,0
2,5,11,0,0,0
2,6,14,0,0,0
2,7,50,0,0,0
2,8,62,0,0,0
2,9,93,0,0,0
2,10,13,0,0,0
2,11,210,0,0,0
2,12,283,0,0,0
2,13,349,0,0,0
2,14,398,0,0,0
2,15,0,0,0,0
2,0,314,0,0,0
2,1,314,0,0,0
2,2,305,0,0,0
2,3,406,0,0,0
2,4,376,0,0,0
2,5,344,0,0,0
2,6,15,0,0,0
2,7,276,0,0,0
2,8,245,0,0,0
2,9,221,0,0,738
2,10,193,0,0,675
2,11,14,0,0,99
2,12,30,0,0,547
2,13,144,0,0,482
2,14,5,0,0,387
2,15,0,0,0,0
2,0,112,0,0,261
2,1,109,0,0,227
2,2,106,0,0,163
2,3,101,0,0,99
2,4,98,0,0,5
2,5,95,0,0,995
2,6,313,0,0,0
2,7,89,0,0,866
2,8,88,0,0,804
2,9,88,0,0,0
2,10,85,0,0,0
2,11,83,0,0,0
2,12,85,0,0,0
2,13,81,0,0,0
2,14,80,0,0,0
2,15,0,0,0,0
2,0,74,0,0,0
2,1,76,0,0,0
2,2,77,0,0,0
2,3,67,0,0,0
2,4,65,0,0,0
2,5,72,0,0,0
2,6,95,0,0,931
2,7,73,0,0,0
2,8,68,0,0,0
2,9,64,0,0,0
2,10,65,0,0,0
2,11,67,0,0,0
2,12,70,0,0,0
2,13,69,0,0,0
2,14,64,0,0,0
2,15,0,0,0,0
2,0,66,0,0,0
2,1,67,0,0,0
2,2,68,0,0,0
2,3,65,0,0,0
2,4,65,0,0,0
2,5,65,0,0,0
2,6,64,0,0,0
2,7,65,0,0,0
2,8,65,0,0,0
2,9,64,0,0,0
2,10,68,0,0,0
2,11,64,0,0,0
2,12,65,0,0,0
2,13,64,0,0,0
2,14,64,0,0,0
2,15,0,0,0,0
2,0,61,0,0,0
2,1,61,0,0,0
2,2,63,0,0,0
2,3,60,0,0,0
2,4,58,0,0,0
2,5,62,0,0,0
2,6,68,0,0,0
2,7,60,0,0,0
2,8,58,0,0,0
2,9,60,0,0,0
2,10,61,0,0,0
2,11,59,0,0,0
2,12,60,0,0,0
2,13,57,0,0,0
2,14,59,0,0,0
2,15,0,0,0,0
2,0,57,0,0,0
2,1,57,0,0,0
2,2,59,0,0,0
2,3,59,0,0,0
2,4,54,0,0,0
2,5,55,0,0,0
2,6,63,0,0,0
2,7,55,0,0,0
2,8,54,0,0,0
2,9,57,0,0,0
2,10,57,0,0,0
2,11,56,0,0,0
2,12,57,0,0,0
2,13,54,0,0,0
2,14,56,0,0,0
2,15,0,0,0,0
2,0,52,0,0,0
2,1,53,0,0,0
2,2,55,0,0,0
2,3,53,0,0,0
2,4,51,0,0,0
2,5,53,0,0,0
2,6,57,0,0,0
2,7,52,0,0,0
2,8,52,0,0,0
2,9,56,0,0,0
2,10,54,0,0,0
2,11,53,0,0,0
2,12,55,0,0,0
2,13,53,0,0,0
2,14,53,0,0,0
2,15,0,0,0,0
2,0,48,0,0,0
2,1,52,0,0,0
2,2,57,0,0,0
2,3,53,0,0,0
2,4,48,0,0,0
2,5,50,0,0,0
2,6,56,0,0,0
2,7,50,0,0,0
2,8,52,0,0,0
2,9,52,0,0,0
2,10,52,0,0,0
2,11,53,0,0,0
2,12,52,0,0,0
2,13,49,0,0,0
2,14,49,0,0,0
2,15,0,0,0,0
2,0,52,0,0,0
2,1,48,0,0,0
2,2,50,0,0,0
2,3,49,0,0,0
2,4,49,0,0,0
2,5,49,0,0,0
2,6,52,0,0,0
2,7,0,0,0,0
2,8,0,0,0,0
2,9,0,0,0,0
2,10,0,0,0,0
2,11,0,0,0,0
2,12,0,0,0,0
2,13,0,0,0,0
2,14,0,0,0,0
2,15,0,0,0,0
2,0,0,0,0,0
2,1,0,0,0,0
2,2,0,0,0,0
2,3,0,0,0,0
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
3,7,8,0,0,0
3,8,5,0,0,0
3,9,9,0,0,0
3,10,7,0,0,0
3,11,3,0,0,0
3,12,7,0,0,0
3,13,5,0,0,0
3,14,6,0,0,0
3,15,0,0,0,0
3,0,5,0,0,0
3,1,11,0,0,0
3,2,8,0,0,0
3,3,6,0,0,0
3,4,10,0,0,0
3,5,5,0,0,0
3,6,6,0,0,0
3,7,22,0,0,0
3,8,8,0,0,0
3,9,217,0,0,0
3,10,285,0,0,0
3,11,370,0,0,0
3,12,453,0,0,0
3,13,525,0,0,0
3,14,583,0,0,0
3,15,0,0,0,0
3,0,116,0,0,0
3,1,115,0,0,0
3,2,80,0,0,0
3,3,564,0,0,0
3,4,532,0,0,0
3,5,487,0,0,0
3,6,10,0,0,0
3,7,408,0,0,0
3,8,369,262,262,733
3,9,337,264,264,669
3,10,304,262,262,93
3,11,285,265,265,528
3,12,268,295,295,476
3,13,249,294,294,414
3,14,236,259,259,348
3,15,0,0,0,0
3,0,219,293,293,223
3,1,213,269,269,24
3,2,209,298,298,90
3,3,202,294,294,29
3,4,193,268,268,984
3,5,197,261,261,928
3,6,316,0,0,0
3,7,193,301,301,789
3,8,61,0,0,0
3,9,60,0,0,0
3,10,55,0,0,0
3,11,181,0,0,0
3,12,56,0,0,0
3,13,50,0,0,0
3,14,53,0,0,0
3,15,0,0,0,0
3,0,49,0,0,0
3,1,51,0,0,0
3,2,49,0,0,0
3,3,13,0,0,0
3,4,14,0,0,0
3,5,44,0,0,0
3,6,192,261,261,863
3,7,13,0,0,0
3,8,10,0,0,0
3,9,8,0,0,0
3,10,9,0,0,0
3,11,38,0,0,0
3,12,10,0,0,0
3,13,3,0,0,0
3,14,38,0,0,0
3,15,0,0,0,0
3,0,5,0,0,0
3,1,42,0,0,0
3,2,38,0,0,0
3,3,4,0,0,0
3,4,37,0,0,0
3,5,3,0,0,0
3,6,3,0,0,0
3,7,5,0,0,0
3,8,2,0,0,0
3,9,1,0,0,0
3,10,31,0,0,0
3,11,31,0,0,0
3,12,0,0,0,0
3,13,30,0,0,0
3,14,30,0,0,0
3,15,0,0,0,0
3,0,28,0,0,0
3,1,34,0,0,0
3,2,31,0,0,0
3,3,29,0,0,0
3,4,32,0,0,0
3,5,159,0,0,0
3,6,2,0,0,0
3,7,28,0,0,0
3,8,28,0,0,0
3,9,28,0,0,0
3,10,27,0,0,0
3,11,27,0,0,0
3,12,27,0,0,0
3,13,23,0,0,0
3,14,24,0,0,0
3,15,0,0,0,0
3,0,25,0,0,0
3,1,25,0,0,0
3,2,25,0,0,0
3,3,25,0,0,0
3,4,26,0,0,0
3,5,24,0,0,0
3,6,29,0,0,0
3,7,24,0,0,0
3,8,24,0,0,0
3,9,21,0,0,0
3,10,21,0,0,0
3,11,21,0,0,0
3,12,25,0,0,0
3,13,20,0,0,0
3,14,20,0,0,0
3,15,0,0,0,0
3,0,20,0,0,0
3,1,24,0,0,0
3,2,149,0,0,0
3,3,18,0,0,0
3,4,21,0,0,0
3,5,21,0,0,0
3,6,24,0,0,0
3,7,20,0,0,0
3,8,21,0,0,0
3,9,145,0,0,0
3,10,17,0,0,0
3,11,19,0,0,0
3,12,21,0,0,0
3,13,16,0,0,0
3,14,16,0,0,0
3,15,0,0,0,0
3,0,21,0,0,0
3,1,16,0,0,0
3,2,19,0,0,0
3,3,17,0,0,0
3,4,20,0,0,0
3,5,16,0,0,0
3,6,22,0,0,0
3,7,17,0,0,0
3,8,18,0,0,0
3,9,13,0,0,0
3,10,14,0,0,0
3,11,14,0,0,0
3,12,17,0,0,0
3,13,10,0,0,0
3,14,12,0,0,0
3,15,0,0,0,0
3,0,20,0,0,0
3,1,16,0,0,0
3,2,16,0,0,0
3,3,13,0,0,0
3,4,17,0,0,0
3,5,13,0,0,0
3,6,19,0,0,0
3,7,0,0,0,0
3,8,0,0,0,0
3,9,0,0,0,0
3,10,0,0,0,0
3,11,0,0,0,0
3,12,0,0,0,0
3,13,0,0,0,0
3,14,0,0,0,0
3,15,0,0,0,0
3,0,0,0,0,0
3,1,0,0,0,0
3,2,0,0,0,0
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
3,6,0,0,0,0
4,7,219,0,0,0
4,8,220,0,0,0
4,9,218,0,0,0
4,10,219,0,0,0
4,11,217,0,0,0
4,12,217,0,0,0
