Channel,Phase,ADC,TOT_10bit,TOT_12bit,ToA
0,7,0,106,106,0
0,8,0,103,103,0
0,9,0,109,109,0
0,10,0,105,105,0
0,11,0,105,105,0
0,12,0,106,106,0
0,13,0,103,103,0
0,14,0,106,106,0
0,15,0,0,0,0
0,0,0,106,106,0
0,1,0,105,105,0
0,2,0,106,106,0
0,3,0,105,105,0
0,4,0,105,105,0
0,5,0,104,104,0
0,6,0,104,104,0
0,7,0,104,104,0
0,8,0,104,104,0
0,9,0,104,104,0
0,10,0,105,105,0
0,11,0,103,103,0
0,12,0,103,103,0
0,13,0,103,103,0
0,14,0,102,102,0
0,15,0,0,0,0
0,0,0,100,100,0
0,1,0,101,101,0
0,2,0,103,103,0
0,3,0,102,102,0
0,4,0,103,103,0
0,5,0,104,104,0
0,6,0,104,104,0
0,7,0,103,103,0
0,8,0,104,104,0
0,9,0,106,106,0
0,10,0,105,105,0
0,11,0,105,105,0
0,12,0,106,106,0
0,13,0,107,107,0
0,14,0,107,107,0
0,15,0,0,0,0
0,0,0,106,106,0
0,1,0,107,107,0
0,2,0,106,106,0
0,3,0,107,107,0
0,4,0,106,106,0
0,5,0,107,107,0
0,6,0,107,107,0
0,7,0,106,106,0
0,8,0,107,107,0
0,9,0,107,107,0
0,10,0,105,105,0
0,11,0,105,105,0
0,12,0,105,105,0
0,13,0,106,106,0
0,14,0,108,108,0
0,15,0,0,0,0
0,0,0,106,106,0
0,1,0,105,105,0
0,2,0,106,106,0
0,3,0,107,107,0
0,4,0,105,105,0
0,5,0,106,106,0
0,6,0,106,106,0
0,7,0,104,104,0
0,8,0,104,104,0
0,9,0,107,107,0
0,10,0,106,106,0
0,11,0,105,105,0
0,12,0,105,105,0
0,13,0,107,107,0
0,14,0,105,105,0
0,15,0,0,0,0
0,0,0,105,105,0
0,1,0,105,105,0
0,2,0,105,105,0
0,3,0,105,105,0
0,4,0,105,105,0
0,5,0,104,104,0
0,6,0,105,105,0
0,7,0,106,106,0
0,8,0,104,104,0
0,9,0,106,106,0
0,10,0,104,104,0
0,11,0,104,104,0
0,12,0,105,105,0
0,13,0,105,105,0
0,14,0,105,105,0
0,15,0,0,0,0
0,0,0,105,105,0
0,1,0,105,105,0
0,2,0,106,106,0
0,3,0,106,106,0
0,4,0,106,106,0
0,5,0,106,106,0
0,6,0,104,104,0
0,7,0,105,105,0
0,8,0,104,104,0
0,9,0,104,104,0
0,10,0,105,105,0
0,11,0,103,103,0
0,12,0,104,104,0
0,13,0,105,105,0
0,14,0,106,106,0
0,15,0,0,0,0
0,0,0,104,104,0
0,1,0,105,105,0
0,2,0,104,104,0
0,3,0,105,105,0
0,4,0,104,104,0
0,5,0,104,104,0
0,6,0,105,105,0
0,7,0,104,104,0
0,8,0,104,104,0
0,9,0,105,105,0
0,10,0,104,104,0
0,11,0,105,105,0
0,12,0,104,104,0
0,13,0,106,106,0
0,14,0,106,106,0
0,15,0,0,0,0
0,0,0,105,105,0
0,1,0,105,105,0
0,2,0,104,104,0
0,3,0,105,105,0
0,4,0,105,105,0
0,5,0,105,105,0
0,6,0,105,105,0
0,7,0,103,103,0
0,8,0,104,104,0
0,9,0,105,105,0
0,10,0,105,105,0
0,11,0,106,106,0
0,12,0,105,105,0
0,13,0,104,104,0
0,14,0,105,105,0
0,15,0,0,0,0
0,0,0,107,107,0
0,1,0,104,104,0
0,2,0,105,105,0
0,3,0,106,106,0
0,4,0,106,106,0
0,5,0,106,106,0
0,6,0,104,104,0
0,7,0,104,104,0
0,8,0,104,104,0
0,9,0,105,105,0
0,10,0,103,103,0
0,11,0,104,104,0
0,12,0,105,105,0
0,13,0,106,106,0
0,14,0,104,104,0
0,15,0,0,0,0
0,0,0,105,105,0
0,1,0,104,104,0
0,2,0,105,105,0
0,3,0,107,107,0
0,4,0,105,105,0
0,5,0,107,107,0
0,6,0,106,106,0
0,7,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,11,0,0,0,0
0,12,0,0,0,0
0,13,0,0,0,0
0,14,0,0,0,0
0,15,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
1,7,34,0,0,0
1,8,32,0,0,0
1,9,33,0,0,0
1,10,35,0,0,0
1,11,32,0,0,0
1,12,33,0,0,0
1,13,33,0,0,0
1,14,35,0,0,0
1,15,0,0,0,0
1,0,34,0,0,0
1,1,36,0,0,0
1,2,34,0,0,0
1,3,34,0,0,0
1,4,35,0,0,0
1,5,39,0,0,0
1,6,36,0,0,0
1,7,36,0,0,0
1,8,38,0,0,0
1,9,44,0,0,0
1,10,61,0,0,0
1,11,79,0,0,0
1,12,103,0,0,0
1,13,134,0,0,0
1,14,153,0,0,0
1,15,0,0,0,0
1,0,180,0,0,0
1,1,186,0,0,0
1,2,179,0,0,0
1,3,178,0,0,0
1,4,171,0,0,0
1,5,164,0,0,0
1,6,36,0,0,0
1,7,138,0,0,0
