Channel,Time,Phase,ADC,TOT,ToA
1,6.25,7,104,0,0
1,7.8125,7,105,0,0
1,9.375,7,104,0,0
1,31.25,7,103,0,0
1,32.8125,7,105,0,0
1,34.375,7,104,0,0
1,56.25,7,104,0,0
1,57.8125,7,105,0,0
1,59.375,7,105,0,0
1,81.25,7,157,0,0
1,82.8125,7,182,0,0
1,84.375,7,206,0,0
1,106.25,7,221,0,0
1,107.8125,7,213,0,0
1,109.375,7,202,0,0
1,131.25,7,142,0,0
1,132.8125,7,142,0,0
1,134.375,7,139,0,0
1,156.25,7,124,0,0
1,157.8125,7,125,0,0
1,159.375,7,124,0,0
1,181.25,7,119,0,0
1,182.8125,7,120,0,0
1,184.375,7,116,0,0
1,206.25,7,114,0,0
1,207.8125,7,116,0,0
1,209.375,7,117,0,0
1,231.25,7,112,0,0
1,232.8125,7,115,0,0
1,234.375,7,112,0,0
2,6.25,7,105,0,0
2,7.8125,7,105,0,0
2,9.375,7,103,0,0
2,31.25,7,104,0,0
2,32.8125,7,104,0,0
2,34.375,7,105,0,0
2,56.25,7,104,0,0
2,57.8125,7,104,0,0
2,59.375,7,104,0,0
2,81.25,7,156,0,0
2,82.8125,7,177,0,0
2,84.375,7,203,0,0
2,106.25,7,219,0,0
2,107.8125,7,208,0,0
2,109.375,7,198,0,0
2,131.25,7,141,0,0
2,132.8125,7,140,0,0
2,134.375,7,137,0,0
2,156.25,7,122,0,0
2,157.8125,7,122,0,0
2,159.375,7,122,0,0
2,181.25,7,116,0,0
2,182.8125,7,117,0,0
2,184.375,7,115,0,0
2,206.25,7,114,0,0
2,207.8125,7,115,0,0
2,209.375,7,113,0,0
2,231.25,7,110,0,0
2,232.8125,7,111,0,0
2,234.375,7,111,0,0
3,6.25,7,98,0,0
3,7.8125,7,99,0,0
3,9.375,7,98,0,0
3,31.25,7,98,0,0
3,32.8125,7,98,0,0
3,34.375,7,98,0,0
3,56.25,7,99,0,0
3,57.8125,7,98,0,0
3,59.375,7,97,0,0
3,81.25,7,150,0,0
3,82.8125,7,172,0,0
3,84.375,7,196,0,0
3,106.25,7,217,0,0
3,107.8125,7,207,0,0
3,109.375,7,197,0,0
3,131.25,7,137,0,0
3,132.8125,7,136,0,0
3,134.375,7,133,0,0
3,156.25,7,120,0,0
3,157.8125,7,120,0,0
3,159.375,7,118,0,0
3,181.25,7,112,0,0
3,182.8125,7,115,0,0
3,184.375,7,113,0,0
3,206.25,7,109,0,0
3,207.8125,7,110,0,0
3,209.375,7,109,0,0
3,231.25,7,106,0,0
3,232.8125,7,108,0,0
3,234.375,7,107,0,0
4,6.25,7,104,0,0
4,7.8125,7,105,0,0
4,9.375,7,104,0,0
4,31.25,7,106,0,0
4,32.8125,7,105,0,0
4,34.375,7,105,0,0
4,56.25,7,105,0,0
4,57.8125,7,105,0,0
4,59.375,7,105,0,0
4,81.25,7,153,0,0
4,82.8125,7,175,0,0
4,84.375,7,200,0,0
4,106.25,7,219,0,0
4,107.8125,7,209,0,0
4,109.375,7,200,0,0
4,131.25,7,142,0,0
4,132.8125,7,141,0,0
4,134.375,7,137,0,0
4,156.25,7,125,0,0
4,157.8125,7,125,0,0
4,159.375,7,122,0,0
4,181.25,7,119,0,0
4,182.8125,7,119,0,0
4,184.375,7,119,0,0
4,206.25,7,115,0,0
4,207.8125,7,113,0,0
4,209.375,7,114,0,0
4,231.25,7,112,0,0
4,232.8125,7,113,0,0
4,234.375,7,113,0,0
5,6.25,7,101,0,0
5,7.8125,7,101,0,0
