Time,ToA_mean,ToA_std,Amplitude
56.25,5.0,0.0,200
56.25,163.0,0.0,300
56.25,377.0,0.0,400
56.25,103.0,0.0,450
56.25,861.0,0.0,600
56.25,80.0,0.0,750
56.25,311.0,0.0,800
56.25,560.0,0.0,850
56.25,813.0,0.0,925
56.25,34.0,0.0,1135
56.25,800.0,0.0,1200
56.25,285.0,0.0,1345
56.25,541.0,0.0,1400
56.25,539.0,0.0,1450
56.25,280.0,0.0,1550
56.25,792.0,0.0,1600
56.25,24.0,0.0,1650
