Channel,Amplitude,mean,std
107,600,-100.0,
108,0,-100.0,
108,300,-100.0,
108,600,-100.0,
109,0,-100.0,
109,300,-100.0,
109,600,-100.0,
110,0,-100.0,
110,300,-100.0,
110,600,-100.0,
111,0,-100.0,
111,300,-100.0,
111,600,-100.0,
112,0,-100.0,
112,300,-100.0,
112,600,-100.0,
113,0,-100.0,
113,300,-100.0,
113,600,-100.0,
114,0,-100.0,
114,300,-100.0,
114,600,-100.0,
115,0,-30.0,
115,300,851.0,
115,600,923.0,
116,0,-24.0,
116,300,858.0,
116,600,923.0,
117,0,-18.0,
117,300,858.0,
117,600,923.0,
118,0,-26.0,
118,300,843.0,
118,600,923.0,
119,0,-28.0,
119,300,861.0,
119,600,923.0,
120,0,-21.0,
120,300,896.0,
120,600,923.0,
121,0,7.0,
121,300,963.0,
121,600,963.0,
122,0,-100.0,
122,300,-100.0,
122,600,-100.0,
123,0,-100.0,
123,300,-100.0,
123,600,-100.0,
124,0,-100.0,
124,300,-100.0,
124,600,-100.0,
125,0,-100.0,
125,300,-100.0,
125,600,-100.0,
126,0,-100.0,
126,300,-100.0,
126,600,-100.0,
127,0,-100.0,
127,300,-100.0,
127,600,-100.0,
128,0,-100.0,
128,300,-100.0,
128,600,-100.0,
129,0,-100.0,
129,300,-100.0,
129,600,-100.0,
130,0,-100.0,
130,300,-100.0,
130,600,-100.0,
131,0,-100.0,
131,300,-100.0,
131,600,-100.0,
132,0,-100.0,
132,300,-100.0,
132,600,-100.0,
133,0,-100.0,
133,300,-100.0,
133,600,-100.0,
134,0,-100.0,
134,300,-100.0,
134,600,-100.0,
135,0,-100.0,
135,300,-100.0,
135,600,-100.0,
136,0,-100.0,
136,300,-100.0,
136,600,-100.0,
137,0,-100.0,
137,300,-100.0,
137,600,-100.0,
138,0,-100.0,
138,300,-100.0,
138,600,-100.0,
139,0,-100.0,
139,300,-100.0,
139,600,-100.0,
140,0,-100.0,
140,300,-100.0,
140,600,-100.0,
141,0,-100.0,
141,300,-100.0,
141,600,-100.0,
142,0,-100.0,
142,300,-100.0,
142,600,-100.0,
143,0,-100.0,
143,300,-100.0,
143,600,-100.0,
144,0,-100.0,
144,300,-100.0,
144,600,-100.0,
145,0,-100.0,
145,300,-100.0,
145,600,-100.0,
146,0,-100.0,
146,300,-100.0,
146,600,-100.0,
147,0,-100.0,
147,300,-100.0,
147,600,-100.0,
148,0,-100.0,
148,300,-100.0,
148,600,-100.0,
149,0,-100.0,
149,300,-100.0,
149,600,-100.0,
150,0,-100.0,
150,300,-100.0,
150,600,-100.0,
151,0,-100.0,
151,300,-100.0,
151,600,-100.0,
