Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,14.0625,0,80,0,0,0
1,64.0625,0,81,0,0,0
1,89.0625,0,1023,0,0,0
1,114.0625,0,1023,1023,4088,430
1,139.0625,0,1023,0,0,0
1,164.0625,0,859,0,0,0
1,189.0625,0,370,303,303,476
1,15.625,1,78,0,0,0
1,40.625,1,80,0,0,0
1,65.625,1,80,0,0,0
1,90.625,1,1023,0,0,0
1,115.625,1,1023,696,1472,364
1,140.625,1,1023,0,0,0
1,165.625,1,753,0,0,0
1,190.625,1,368,0,0,0
1,17.1875,2,78,0,0,0
1,42.1875,2,81,0,0,0
1,67.1875,2,83,0,0,0
1,92.1875,2,1023,0,0,0
1,117.1875,2,1023,696,1472,298
1,142.1875,2,1023,0,0,0
1,167.1875,2,694,0,0,0
1,192.1875,2,360,0,0,0
1,18.75,3,80,0,0,0
1,43.75,3,80,0,0,0
1,68.75,3,80,0,0,0
1,93.75,3,1023,0,0,0
1,118.75,3,1023,1023,4088,245
1,143.75,3,1023,0,0,0
1,168.75,3,668,0,0,0
1,193.75,3,353,367,367,225
1,20.3125,4,83,0,0,0
1,45.3125,4,82,0,0,0
1,70.3125,4,84,0,0,0
1,95.3125,4,1023,0,0,0
1,120.3125,4,1023,20,20,175
1,145.3125,4,1023,0,0,0
1,170.3125,4,641,0,0,0
1,195.3125,4,345,347,347,163
1,21.875,5,84,0,0,0
1,71.875,5,85,0,0,0
1,96.875,5,1023,0,0,0
1,121.875,5,1023,695,1464,109
1,146.875,5,1023,0,0,0
1,171.875,5,594,0,0,0
1,196.875,5,331,0,0,0
1,23.4375,6,84,0,0,0
1,48.4375,6,81,0,0,0
1,73.4375,6,80,0,0,0
1,98.4375,6,92,0,0,0
1,148.4375,6,1023,648,1088,43
1,173.4375,6,766,0,0,0
1,198.4375,6,534,0,0,0
1,0.0,7,80,0,0,0
1,25.0,7,82,0,0,0
1,50.0,7,82,0,0,0
1,75.0,7,116,0,0,0
1,100.0,7,1023,695,1464,1011
1,125.0,7,1023,0,0,0
1,150.0,7,1023,0,0,0
1,175.0,7,461,0,0,0
1,1.5625,8,81,0,0,0
1,26.5625,8,82,0,0,0
1,51.5625,8,80,0,0,0
1,76.5625,8,174,0,0,0
1,101.5625,8,1023,694,1456,944
1,126.5625,8,1023,0,0,0
1,151.5625,8,1023,0,0,0
1,176.5625,8,407,0,0,0
1,3.125,9,81,0,0,0
1,28.125,9,83,0,0,0
1,53.125,9,81,0,0,0
1,78.125,9,283,0,0,0
1,103.125,9,1023,1023,4088,877
1,128.125,9,1023,0,0,0
1,153.125,9,1023,0,0,0
1,178.125,9,382,368,368,832
1,4.6875,10,78,0,0,0
1,29.6875,10,80,0,0,0
1,54.6875,10,79,0,0,0
1,79.6875,10,416,0,0,0
1,104.6875,10,1023,696,1472,811
1,129.6875,10,1023,0,0,0
1,179.6875,10,395,0,0,0
1,6.25,11,84,0,0,0
1,31.25,11,81,0,0,0
1,56.25,11,81,0,0,0
1,81.25,11,552,0,0,0
1,106.25,11,1023,694,1456,757
1,131.25,11,1023,0,0,0
1,156.25,11,1023,0,0,0
1,181.25,11,401,0,0,0
1,7.8125,12,81,0,0,0
1,32.8125,12,80,0,0,0
1,57.8125,12,80,0,0,0
1,82.8125,12,693,0,0,0
1,107.8125,12,1023,694,1456,689
1,132.8125,12,1023,0,0,0
1,157.8125,12,1023,0,0,0
1,182.8125,12,404,0,0,0
1,9.375,13,78,0,0,0
1,34.375,13,80,0,0,0
1,84.375,13,829,0,0,0
1,109.375,13,1023,695,1464,621
1,134.375,13,1023,0,0,0
1,159.375,13,1023,0,0,0
1,184.375,13,399,0,0,0
1,10.9375,14,83,0,0,0
1,35.9375,14,82,0,0,0
1,60.9375,14,86,0,0,0
1,85.9375,14,944,0,0,0
1,110.9375,14,1023,696,1472,555
1,135.9375,14,1023,0,0,0
1,160.9375,14,967,0,0,0
1,185.9375,14,391,0,0,0
1,12.5,15,80,0,0,0
1,37.5,15,82,0,0,0
1,87.5,15,1023,0,0,0
1,112.5,15,1023,695,1464,501
1,137.5,15,1023,0,0,0
1,162.5,15,884,0,0,0
1,187.5,15,382,0,0,0
2,14.0625,0,79,0,0,0
2,39.0625,0,80,0,0,0
2,64.0625,0,77,0,0,0
2,89.0625,0,1023,0,0,0
2,114.0625,0,1023,1023,4088,441
2,139.0625,0,1023,0,0,0
2,164.0625,0,826,0,0,0
2,189.0625,0,358,311,311,408
2,15.625,1,78,0,0,0
2,40.625,1,81,0,0,0
2,65.625,1,81,0,0,0
2,90.625,1,1023,0,0,0
2,115.625,1,1023,1023,4088,376
2,140.625,1,1023,0,0,0
2,165.625,1,732,0,0,0
2,190.625,1,353,379,379,283
2,17.1875,2,80,0,0,0
2,42.1875,2,80,0,0,0
2,92.1875,2,1023,0,0,0
2,117.1875,2,1023,1023,4088,308
2,142.1875,2,1023,0,0,0
2,167.1875,2,690,0,0,0
2,192.1875,2,346,381,381,227
2,18.75,3,79,0,0,0
2,43.75,3,78,0,0,0
2,68.75,3,79,0,0,0
2,93.75,3,1023,0,0,0
2,118.75,3,1023,1023,4088,252
2,143.75,3,1023,0,0,0
2,168.75,3,673,0,0,0
2,193.75,3,338,401,401,146
2,20.3125,4,78,0,0,0
2,45.3125,4,80,0,0,0
2,70.3125,4,79,0,0,0
2,95.3125,4,1023,0,0,0
2,120.3125,4,1023,141,141,186
2,145.3125,4,1023,0,0,0
2,170.3125,4,649,0,0,0
2,195.3125,4,332,392,392,75
2,21.875,5,80,0,0,0
2,46.875,5,80,0,0,0
2,71.875,5,79,0,0,0
2,96.875,5,1023,0,0,0
2,121.875,5,1023,691,1432,121
2,146.875,5,1023,0,0,0
2,171.875,5,601,0,0,0
2,196.875,5,328,0,0,0
2,23.4375,6,78,0,0,0
2,48.4375,6,79,0,0,0
2,73.4375,6,81,0,0,0
2,98.4375,6,86,0,0,0
2,123.4375,6,1023,0,0,0
2,148.4375,6,1023,691,1432,55
2,173.4375,6,767,0,0,0
2,198.4375,6,533,0,0,0
2,0.0,7,79,0,0,0
2,50.0,7,79,0,0,0
2,75.0,7,108,0,0,0
2,100.0,7,1023,690,1424,1020
2,125.0,7,1023,0,0,0
2,150.0,7,1023,0,0,0
2,175.0,7,482,0,0,0
2,1.5625,8,81,0,0,0
2,26.5625,8,82,0,0,0
2,51.5625,8,82,0,0,0
2,76.5625,8,174,0,0,0
2,101.5625,8,1023,1023,4088,953
2,126.5625,8,1023,0,0,0
2,151.5625,8,1023,0,0,0
2,176.5625,8,429,388,388,853
2,3.125,9,80,0,0,0
2,28.125,9,78,0,0,0
2,53.125,9,80,0,0,0
2,78.125,9,275,0,0,0
2,103.125,9,1023,670,1264,888
2,128.125,9,1023,0,0,0
2,153.125,9,1023,0,0,0
2,178.125,9,397,383,383,784
2,4.6875,10,80,0,0,0
2,29.6875,10,81,0,0,0
2,54.6875,10,80,0,0,0
2,79.6875,10,411,0,0,0
2,104.6875,10,1023,1023,4088,821
2,129.6875,10,1023,0,0,0
2,154.6875,10,1023,0,0,0
2,179.6875,10,395,380,380,733
2,6.25,11,77,0,0,0
2,31.25,11,81,0,0,0
2,56.25,11,80,0,0,0
2,81.25,11,554,0,0,0
2,106.25,11,1023,690,1424,762
2,131.25,11,1023,0,0,0
2,156.25,11,1023,0,0,0
2,181.25,11,398,0,0,0
2,7.8125,12,78,0,0,0
2,32.8125,12,75,0,0,0
2,57.8125,12,79,0,0,0
2,82.8125,12,695,0,0,0
2,107.8125,12,1023,690,1424,699
2,132.8125,12,1023,0,0,0
2,157.8125,12,1023,0,0,0
2,182.8125,12,396,0,0,0
2,9.375,13,81,0,0,0
2,34.375,13,82,0,0,0
2,59.375,13,84,0,0,0
2,84.375,13,836,0,0,0
2,109.375,13,1023,1023,4088,629
2,134.375,13,1023,0,0,0
2,159.375,13,1011,0,0,0
2,184.375,13,387,385,385,528
2,10.9375,14,83,0,0,0
2,60.9375,14,81,0,0,0
2,85.9375,14,958,0,0,0
2,110.9375,14,1023,691,1432,564
2,135.9375,14,1023,0,0,0
2,185.9375,14,382,0,0,0
2,12.5,15,81,0,0,0
2,37.5,15,80,0,0,0
2,62.5,15,80,0,0,0
2,87.5,15,1023,0,0,0
2,112.5,15,1023,691,1432,509
2,137.5,15,1023,0,0,0
2,162.5,15,861,0,0,0
2,187.5,15,371,0,0,0
77,14.0625,0,77,0,0,0
77,64.0625,0,77,0,0,0
77,89.0625,0,1023,0,0,0
77,114.0625,0,1023,1023,4088,185
77,139.0625,0,1023,0,0,0
77,164.0625,0,722,0,0,0
77,189.0625,0,346,581,552,40
77,15.625,1,78,0,0,0
77,40.625,1,80,0,0,0
77,65.625,1,78,0,0,0
77,90.625,1,1023,0,0,0
77,115.625,1,1023,686,1392,123
77,140.625,1,1023,0,0,0
77,165.625,1,684,0,0,0
77,190.625,1,344,0,0,0
77,17.1875,2,78,0,0,0
77,42.1875,2,78,0,0,0
77,67.1875,2,80,0,0,0
77,92.1875,2,1023,0,0,0
77,117.1875,2,1023,686,1392,58
77,142.1875,2,1023,0,0,0
77,167.1875,2,649,0,0,0
77,192.1875,2,336,0,0,0
77,18.75,3,80,0,0,0
77,43.75,3,80,0,0,0
77,68.75,3,79,0,0,0
77,93.75,3,1023,0,0,0
77,118.75,3,1023,686,1392,1018
77,143.75,3,1023,0,0,0
77,168.75,3,589,0,0,0
77,193.75,3,329,0,0,0
77,20.3125,4,81,0,0,0
77,45.3125,4,80,0,0,0
77,70.3125,4,82,0,0,0
77,95.3125,4,1023,0,0,0
77,120.3125,4,1023,686,1392,955
77,145.3125,4,1023,0,0,0
77,170.3125,4,528,0,0,0
77,195.3125,4,323,0,0,0
77,21.875,5,81,0,0,0
77,71.875,5,83,0,0,0
77,96.875,5,1023,0,0,0
77,121.875,5,1023,686,1392,890
77,146.875,5,1023,0,0,0
77,171.875,5,473,0,0,0
77,196.875,5,317,0,0,0
77,23.4375,6,82,0,0,0
77,48.4375,6,82,0,0,0
77,73.4375,6,81,0,0,0
77,98.4375,6,92,0,0,0
77,148.4375,6,1023,682,1360,827
77,173.4375,6,1022,0,0,0
77,198.4375,6,414,0,0,0
77,0.0,7,77,0,0,0
77,25.0,7,77,0,0,0
77,50.0,7,77,0,0,0
77,75.0,7,116,0,0,0
77,100.0,7,1023,686,1392,761
77,125.0,7,1023,0,0,0
77,150.0,7,1023,0,0,0
77,175.0,7,391,0,0,0
77,1.5625,8,81,0,0,0
77,26.5625,8,81,0,0,0
77,51.5625,8,80,0,0,0
77,76.5625,8,184,0,0,0
77,101.5625,8,1023,685,1384,698
77,126.5625,8,1023,0,0,0
77,151.5625,8,1023,0,0,0
77,176.5625,8,397,0,0,0
77,3.125,9,83,0,0,0
77,28.125,9,83,0,0,0
77,53.125,9,80,0,0,0
77,78.125,9,298,0,0,0
77,103.125,9,1023,686,1392,634
77,128.125,9,1023,0,0,0
77,153.125,9,1023,0,0,0
77,178.125,9,395,0,0,0
77,4.6875,10,80,0,0,0
77,29.6875,10,78,0,0,0
77,54.6875,10,77,0,0,0
77,79.6875,10,430,0,0,0
77,104.6875,10,1023,686,1392,570
77,129.6875,10,1023,0,0,0
77,179.6875,10,396,0,0,0
77,6.25,11,80,0,0,0
77,31.25,11,78,0,0,0
77,56.25,11,79,0,0,0
77,81.25,11,571,0,0,0
77,106.25,11,1023,686,1392,506
77,131.25,11,1023,0,0,0
77,156.25,11,1023,0,0,0
77,181.25,11,389,0,0,0
77,7.8125,12,81,0,0,0
77,32.8125,12,80,0,0,0
77,57.8125,12,81,0,0,0
77,82.8125,12,712,0,0,0
77,107.8125,12,1023,686,1392,443
77,132.8125,12,1023,0,0,0
77,157.8125,12,956,0,0,0
77,182.8125,12,384,0,0,0
77,9.375,13,80,0,0,0
77,34.375,13,80,0,0,0
77,84.375,13,848,0,0,0
77,109.375,13,1023,686,1392,378
77,134.375,13,1023,0,0,0
77,159.375,13,880,0,0,0
77,184.375,13,378,0,0,0
77,10.9375,14,80,0,0,0
77,35.9375,14,80,0,0,0
77,60.9375,14,81,0,0,0
77,85.9375,14,963,0,0,0
77,110.9375,14,1023,686,1392,314
77,135.9375,14,1023,0,0,0
77,160.9375,14,810,0,0,0
77,185.9375,14,369,0,0,0
77,12.5,15,80,0,0,0
77,37.5,15,81,0,0,0
77,87.5,15,1023,0,0,0
77,112.5,15,1023,686,1392,252
77,137.5,15,1023,0,0,0
77,162.5,15,746,0,0,0
77,187.5,15,358,0,0,0
78,14.0625,0,80,0,0,0
78,39.0625,0,78,0,0,0
78,64.0625,0,78,0,0,0
78,89.0625,0,1023,0,0,0
78,114.0625,0,1023,690,1424,188
78,139.0625,0,1023,0,0,0
78,164.0625,0,737,0,0,0
78,189.0625,0,361,0,0,0
78,15.625,1,81,0,0,0
78,40.625,1,80,0,0,0
78,65.625,1,78,0,0,0
78,90.625,1,1023,0,0,0
78,115.625,1,1023,687,1400,125
