Channel,Time,Phase,ADC,TOT,ToA
10,139.0625,7,115,0,0
10,162.5,7,110,0,0
10,164.0625,7,110,0,0
10,187.5,7,107,0,0
10,189.0625,7,104,0,0
10,212.5,7,105,0,0
10,214.0625,7,105,0,0
10,237.5,7,104,0,0
10,239.0625,7,104,0,0
11,12.5,7,98,0,0
11,14.0625,7,96,0,0
11,37.5,7,98,0,0
11,39.0625,7,98,0,0
11,62.5,7,98,0,0
11,64.0625,7,100,0,0
11,87.5,7,156,0,0
11,89.0625,7,166,0,0
11,112.5,7,142,0,768
11,114.0625,7,137,0,728
11,137.5,7,116,0,0
11,139.0625,7,114,0,0
11,162.5,7,108,0,0
11,164.0625,7,109,0,0
11,187.5,7,107,0,0
11,189.0625,7,106,0,0
11,212.5,7,107,0,0
11,214.0625,7,105,0,0
11,237.5,7,106,0,0
11,239.0625,7,102,0,0
12,12.5,7,101,0,0
12,14.0625,7,100,0,0
12,37.5,7,102,0,0
12,39.0625,7,98,0,0
12,62.5,7,102,0,0
12,64.0625,7,99,0,0
12,87.5,7,157,0,0
12,89.0625,7,166,0,0
12,112.5,7,142,0,768
12,114.0625,7,140,0,700
12,137.5,7,118,0,0
12,139.0625,7,116,0,0
12,162.5,7,110,0,0
12,164.0625,7,111,0,0
12,187.5,7,109,0,0
12,189.0625,7,109,0,0
12,212.5,7,108,0,0
12,214.0625,7,106,0,0
12,237.5,7,106,0,0
12,239.0625,7,106,0,0
13,12.5,7,98,0,0
13,14.0625,7,97,0,0
13,37.5,7,97,0,0
13,39.0625,7,96,0,0
13,62.5,7,97,0,0
13,64.0625,7,98,0,0
13,87.5,7,157,0,0
13,89.0625,7,166,0,0
13,112.5,7,140,0,768
13,114.0625,7,136,0,709
13,137.5,7,116,0,0
13,139.0625,7,114,0,0
13,162.5,7,108,0,0
13,164.0625,7,108,0,0
13,187.5,7,105,0,0
13,189.0625,7,105,0,0
13,212.5,7,104,0,0
13,214.0625,7,103,0,0
13,237.5,7,101,0,0
13,239.0625,7,102,0,0
14,12.5,7,101,0,0
14,14.0625,7,100,0,0
14,37.5,7,102,0,0
14,39.0625,7,98,0,0
14,62.5,7,102,0,0
14,64.0625,7,99,0,0
14,87.5,7,157,0,0
14,89.0625,7,166,0,0
14,112.5,7,143,0,768
14,114.0625,7,139,0,714
14,137.5,7,118,0,0
14,139.0625,7,116,0,0
14,162.5,7,112,0,0
14,164.0625,7,110,0,0
14,187.5,7,110,0,0
14,189.0625,7,106,0,0
14,212.5,7,107,0,0
14,214.0625,7,106,0,0
14,237.5,7,105,0,0
14,239.0625,7,105,0,0
15,12.5,7,104,0,0
15,14.0625,7,104,0,0
15,37.5,7,104,0,0
15,39.0625,7,104,0,0
15,62.5,7,102,0,0
15,64.0625,7,104,0,0
15,87.5,7,165,0,0
15,89.0625,7,177,0,0
15,112.5,7,148,0,768
