Channel,Phase,ADC,TOT_10bit,TOT_12bit,ToA
0,7,0,105,105,0
0,8,0,105,105,0
0,9,0,104,104,0
0,10,0,105,105,0
0,11,0,106,106,0
0,12,0,106,106,0
0,13,0,105,105,0
0,14,0,105,105,0
0,15,0,0,0,0
0,0,0,106,106,0
0,1,0,107,107,0
0,2,0,106,106,0
0,3,0,105,105,0
0,4,0,105,105,0
0,5,0,105,105,0
0,6,0,104,104,0
0,7,0,103,103,0
0,8,0,103,103,0
0,9,0,102,102,0
0,10,0,98,98,0
0,11,0,93,93,0
0,12,0,93,93,0
0,13,0,90,90,0
0,14,0,88,88,0
0,15,0,0,0,0
0,0,0,90,90,0
0,1,0,90,90,0
0,2,0,92,92,0
0,3,0,95,95,0
0,4,0,99,99,0
0,5,0,101,101,0
0,6,0,102,102,0
0,7,0,104,104,0
0,8,0,106,106,0
0,9,0,105,105,0
0,10,0,109,109,0
0,11,0,109,109,0
0,12,0,109,109,0
0,13,0,109,109,0
0,14,0,111,111,0
0,15,0,0,0,0
0,0,0,110,110,0
0,1,0,109,109,0
0,2,0,111,111,0
0,3,0,111,111,0
0,4,0,111,111,0
0,5,0,110,110,0
0,6,0,111,111,0
0,7,0,109,109,0
0,8,0,110,110,0
0,9,0,109,109,0
0,10,0,110,110,0
0,11,0,109,109,0
0,12,0,111,111,0
0,13,0,111,111,0
0,14,0,108,108,0
0,15,0,0,0,0
0,0,0,109,109,0
0,1,0,107,107,0
0,2,0,109,109,0
0,3,0,109,109,0
0,4,0,108,108,0
0,5,0,108,108,0
0,6,0,106,106,0
0,7,0,106,106,0
0,8,0,107,107,0
0,9,0,106,106,0
0,10,0,105,105,0
0,11,0,105,105,0
0,12,0,106,106,0
0,13,0,105,105,0
0,14,0,106,106,0
0,15,0,0,0,0
0,0,0,0,0,0
0,1,0,105,105,0
0,2,0,107,107,0
0,3,0,107,107,0
0,4,0,107,107,0
0,5,0,108,108,0
0,6,0,105,105,0
0,7,0,106,106,0
0,8,0,105,105,0
0,9,0,105,105,0
0,10,0,105,105,0
0,11,0,104,104,0
0,12,0,105,105,0
0,13,0,105,105,0
0,14,0,107,107,0
0,15,0,0,0,0
0,0,0,106,106,0
0,1,0,105,105,0
0,2,0,105,105,0
0,3,0,106,106,0
0,4,0,107,107,0
0,5,0,105,105,0
0,6,0,105,105,0
0,7,0,104,104,0
0,8,0,104,104,0
0,9,0,104,104,0
0,10,0,104,104,0
0,11,0,104,104,0
0,12,0,105,105,0
0,13,0,104,104,0
0,14,0,104,104,0
0,15,0,0,0,0
0,0,0,104,104,0
0,1,0,105,105,0
0,2,0,102,102,0
0,3,0,105,105,0
0,4,0,106,106,0
0,5,0,105,105,0
0,6,0,103,103,0
0,7,0,103,103,0
0,8,0,104,104,0
0,9,0,103,103,0
0,10,0,104,104,0
0,11,0,103,103,0
0,12,0,103,103,0
0,13,0,105,105,0
0,14,0,103,103,0
0,15,0,0,0,0
0,0,0,104,104,0
0,1,0,107,107,0
0,2,0,105,105,0
0,3,0,105,105,0
0,4,0,106,106,0
0,5,0,104,104,0
0,6,0,102,102,0
0,7,0,103,103,0
0,8,0,104,104,0
0,9,0,103,103,0
0,10,0,103,103,0
