FPGA,PB,Channel,NoHV,HV
210,06,58,81.0,86.0
210,06,59,83.0,80.0
210,06,60,80.0,80.0
210,06,61,88.0,82.0
210,06,62,83.0,81.0
210,06,63,81.0,80.0
210,06,64,79.0,85.0
210,06,65,87.0,85.0
210,06,66,79.0,88.0
210,06,67,109.0,125.0
210,06,68,82.0,83.0
210,06,69,86.0,81.0
210,06,70,86.0,87.0
210,06,71,78.0,85.0
210,06,72,84.0,83.0
210,06,73,85.0,80.0
210,06,74,65.0,79.0
210,06,75,0.0,0.0
210,06,77,91.0,87.0
210,06,78,57.0,69.0
210,06,79,83.0,82.0
210,06,80,87.0,82.0
210,06,81,106.0,120.0
210,06,82,82.0,85.0
210,06,83,72.0,81.0
210,06,84,78.0,88.0
210,06,85,79.0,80.0
210,06,86,85.0,86.0
210,06,87,85.0,85.0
210,06,88,78.0,92.0
210,06,89,81.0,82.0
210,06,90,41.0,50.0
210,06,91,87.0,87.0
210,06,92,86.0,85.0
210,06,93,89.0,85.0
210,06,94,81.0,83.0
210,06,96,86.0,85.0
210,06,97,95.0,101.0
210,06,98,83.0,90.0
210,06,99,81.0,82.0
210,06,100,79.0,81.0
210,06,101,79.0,83.0
210,06,102,85.0,89.0
210,06,103,82.0,88.0
210,06,104,78.0,79.0
210,06,105,87.0,90.0
210,06,106,84.0,84.0
210,06,107,84.0,88.0
210,06,108,89.0,91.0
210,06,109,83.0,84.0
210,06,110,82.0,83.0
210,06,111,82.0,83.0
210,06,112,67.0,70.0
210,06,113,0.0,0.0
210,06,115,65.0,56.0
210,06,116,64.0,64.0
210,06,117,64.0,61.0
210,06,118,49.0,53.0
210,06,119,81.0,81.0
210,06,120,81.0,82.0
210,06,121,82.0,86.0
210,06,122,79.0,84.0
210,06,123,79.0,77.0
210,06,124,69.0,64.0
210,06,125,85.0,80.0
210,06,126,98.0,90.0
210,06,127,87.0,83.0
210,06,128,85.0,82.0
210,06,129,81.0,82.0
210,06,130,81.0,81.0
210,06,131,91.0,82.0
210,06,132,78.0,83.0
210,06,134,86.0,79.0
210,06,135,85.0,81.0
210,06,136,77.0,85.0
210,06,137,83.0,85.0
210,06,138,89.0,85.0
210,06,139,81.0,82.0
210,06,140,76.0,81.0
210,06,141,86.0,80.0
210,06,142,82.0,79.0
210,06,143,82.0,82.0
210,06,144,81.0,83.0
210,06,145,87.0,88.0
210,06,146,87.0,92.0
210,06,147,84.0,81.0
210,06,148,74.0,79.0
210,06,149,77.0,75.0
210,06,150,85.0,84.0
210,06,151,0.0,0.0
