FPGA,PB,Channel,HV
209,008,142,81.0
209,008,143,78.0
209,008,144,79.0
209,008,145,87.0
209,008,146,91.0
209,008,147,78.0
209,008,148,79.0
209,008,149,79.0
209,008,150,73.0
209,008,151,0.0
