Time,ToA_mean,ToA_std,Amplitude
81.25,553.0,0.0,200
56.25,389.0,0.0,500
56.25,349.0,0.0,800
56.25,337.0,0.0,1100
56.25,334.0,0.0,1400
56.25,330.0,0.0,1700
56.25,323.0,0.0,2000
56.25,323.0,0.0,2300
56.25,325.0,0.0,2600
56.25,325.0,0.0,2900
56.25,325.0,0.0,3200
56.25,325.0,0.0,3500
