Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,14.0625,0,78,0,0,0
1,39.0625,0,80,0,0,0
1,64.0625,0,81,0,0,0
1,89.0625,0,757,0,0,0
1,114.0625,0,356,444,444,477
1,139.0625,0,281,0,0,0
1,164.0625,0,197,0,0,0
1,189.0625,0,156,0,0,0
1,15.625,1,81,0,0,0
1,40.625,1,80,0,0,0
1,65.625,1,80,0,0,0
1,90.625,1,741,0,0,0
1,115.625,1,353,436,436,412
1,140.625,1,275,0,0,0
1,165.625,1,193,0,0,0
1,190.625,1,157,0,0,0
1,17.1875,2,81,0,0,0
1,42.1875,2,82,0,0,0
1,67.1875,2,82,0,0,0
1,92.1875,2,719,0,0,0
1,117.1875,2,347,435,435,344
1,142.1875,2,267,0,0,0
1,167.1875,2,190,0,0,0
1,192.1875,2,158,0,0,0
1,18.75,3,81,0,0,0
1,43.75,3,83,0,0,0
1,68.75,3,81,0,0,0
1,93.75,3,683,0,0,0
1,118.75,3,349,438,438,278
1,143.75,3,260,0,0,0
1,168.75,3,187,0,0,0
1,193.75,3,154,0,0,0
1,20.3125,4,84,0,0,0
1,45.3125,4,84,0,0,0
1,70.3125,4,80,0,0,0
1,95.3125,4,640,0,0,0
1,120.3125,4,346,428,428,226
1,145.3125,4,255,0,0,0
1,195.3125,4,151,0,0,0
1,21.875,5,82,0,0,0
1,46.875,5,81,0,0,0
1,71.875,5,82,0,0,0
1,96.875,5,593,0,0,0
1,121.875,5,343,434,434,157
1,146.875,5,254,0,0,0
1,171.875,5,182,0,0,0
1,196.875,5,152,0,0,0
1,23.4375,6,85,0,0,0
1,48.4375,6,83,0,0,0
1,73.4375,6,84,0,0,0
1,98.4375,6,86,0,0,0
1,123.4375,6,548,0,0,0
1,148.4375,6,337,416,416,91
1,173.4375,6,243,0,0,0
1,198.4375,6,178,0,0,0
1,0.0,7,84,0,0,0
1,25.0,7,81,0,0,0
1,50.0,7,81,0,0,0
1,75.0,7,97,0,0,0
1,100.0,7,506,0,0,0
1,125.0,7,336,438,438,22
1,150.0,7,238,0,0,0
1,175.0,7,179,0,0,0
1,1.5625,8,83,0,0,0
1,26.5625,8,80,0,0,0
1,51.5625,8,82,0,0,0
1,76.5625,8,125,0,0,0
1,101.5625,8,471,436,436,992
1,126.5625,8,332,0,0,0
1,151.5625,8,236,0,0,0
1,176.5625,8,177,0,0,0
1,3.125,9,80,0,0,0
1,28.125,9,80,0,0,0
1,53.125,9,80,0,0,0
1,78.125,9,176,0,0,0
1,103.125,9,440,433,433,926
1,128.125,9,328,0,0,0
1,153.125,9,230,0,0,0
1,178.125,9,172,0,0,0
1,4.6875,10,80,0,0,0
1,29.6875,10,81,0,0,0
1,54.6875,10,80,0,0,0
1,79.6875,10,267,0,0,0
1,104.6875,10,416,444,444,857
1,129.6875,10,321,0,0,0
1,154.6875,10,221,0,0,0
1,179.6875,10,168,0,0,0
1,6.25,11,82,0,0,0
1,31.25,11,84,0,0,0
1,56.25,11,83,0,0,0
1,81.25,11,368,0,0,0
1,106.25,11,391,435,435,791
1,131.25,11,313,0,0,0
1,156.25,11,215,0,0,0
1,181.25,11,163,0,0,0
1,7.8125,12,83,0,0,0
1,32.8125,12,84,0,0,0
1,57.8125,12,85,0,0,0
1,82.8125,12,475,0,0,0
1,107.8125,12,381,434,434,735
1,132.8125,12,309,0,0,0
1,157.8125,12,214,0,0,0
1,182.8125,12,168,0,0,0
1,9.375,13,81,0,0,0
1,34.375,13,80,0,0,0
1,134.375,13,305,0,0,0
1,159.375,13,210,0,0,0
1,184.375,13,165,0,0,0
1,10.9375,14,85,0,0,0
1,60.9375,14,82,0,0,0
1,85.9375,14,657,0,0,0
1,110.9375,14,363,440,440,602
1,135.9375,14,296,0,0,0
1,160.9375,14,205,0,0,0
1,185.9375,14,165,0,0,0
1,12.5,15,81,0,0,0
1,37.5,15,84,0,0,0
1,62.5,15,82,0,0,0
1,87.5,15,715,0,0,0
1,112.5,15,359,440,440,533
1,137.5,15,290,0,0,0
1,162.5,15,202,0,0,0
1,187.5,15,162,0,0,0
2,14.0625,0,79,0,0,0
2,39.0625,0,79,0,0,0
2,64.0625,0,80,0,0,0
2,89.0625,0,743,0,0,0
2,114.0625,0,344,425,425,488
2,139.0625,0,273,0,0,0
2,164.0625,0,191,0,0,0
2,189.0625,0,155,0,0,0
2,15.625,1,80,0,0,0
2,40.625,1,80,0,0,0
2,65.625,1,81,0,0,0
2,90.625,1,735,0,0,0
2,115.625,1,338,420,420,422
2,140.625,1,267,0,0,0
2,165.625,1,187,0,0,0
2,190.625,1,152,0,0,0
2,17.1875,2,78,0,0,0
2,42.1875,2,79,0,0,0
