Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,14.0625,0,82,0,0,0
1,39.0625,0,81,0,0,0
1,64.0625,0,81,0,0,0
1,89.0625,0,752,0,0,0
1,114.0625,0,357,447,447,477
1,139.0625,0,277,0,0,0
1,164.0625,0,191,0,0,0
1,189.0625,0,161,0,0,0
1,15.625,1,84,0,0,0
1,40.625,1,81,0,0,0
1,65.625,1,78,0,0,0
1,90.625,1,739,0,0,0
1,115.625,1,356,442,442,412
1,140.625,1,273,0,0,0
1,165.625,1,194,0,0,0
1,190.625,1,158,0,0,0
1,17.1875,2,81,0,0,0
1,42.1875,2,80,0,0,0
1,67.1875,2,78,0,0,0
1,92.1875,2,713,0,0,0
1,117.1875,2,352,438,438,348
1,142.1875,2,266,0,0,0
1,167.1875,2,192,0,0,0
1,192.1875,2,158,0,0,0
1,18.75,3,81,0,0,0
1,43.75,3,82,0,0,0
1,68.75,3,83,0,0,0
1,93.75,3,682,0,0,0
1,118.75,3,350,441,441,277
1,143.75,3,255,0,0,0
1,193.75,3,154,0,0,0
1,20.3125,4,86,0,0,0
1,45.3125,4,84,0,0,0
1,70.3125,4,82,0,0,0
1,95.3125,4,636,0,0,0
1,145.3125,4,252,0,0,0
1,170.3125,4,183,0,0,0
1,195.3125,4,152,0,0,0
1,21.875,5,82,0,0,0
1,46.875,5,80,0,0,0
1,71.875,5,83,0,0,0
1,96.875,5,594,0,0,0
1,121.875,5,345,446,446,157
1,146.875,5,248,0,0,0
1,171.875,5,182,0,0,0
1,196.875,5,153,0,0,0
1,23.4375,6,82,0,0,0
1,48.4375,6,82,0,0,0
1,73.4375,6,82,0,0,0
1,98.4375,6,88,0,0,0
1,123.4375,6,546,0,0,0
1,148.4375,6,341,434,434,91
1,173.4375,6,245,0,0,0
1,198.4375,6,182,0,0,0
1,0.0,7,84,0,0,0
1,25.0,7,80,0,0,0
1,50.0,7,84,0,0,0
1,75.0,7,98,0,0,0
1,100.0,7,512,0,0,0
1,125.0,7,336,448,448,19
1,150.0,7,235,0,0,0
1,175.0,7,176,0,0,0
1,1.5625,8,81,0,0,0
1,26.5625,8,82,0,0,0
1,51.5625,8,81,0,0,0
1,76.5625,8,121,0,0,0
1,101.5625,8,474,439,439,995
1,126.5625,8,332,0,0,0
1,151.5625,8,232,0,0,0
1,176.5625,8,175,0,0,0
1,3.125,9,81,0,0,0
1,28.125,9,80,0,0,0
1,53.125,9,80,0,0,0
1,78.125,9,176,0,0,0
1,103.125,9,437,434,434,926
1,128.125,9,321,0,0,0
1,153.125,9,225,0,0,0
1,178.125,9,171,0,0,0
1,4.6875,10,85,0,0,0
1,29.6875,10,83,0,0,0
1,54.6875,10,81,0,0,0
1,79.6875,10,266,0,0,0
1,104.6875,10,418,442,442,858
1,129.6875,10,320,0,0,0
1,154.6875,10,226,0,0,0
1,179.6875,10,174,0,0,0
1,6.25,11,80,0,0,0
1,31.25,11,85,0,0,0
1,56.25,11,81,0,0,0
1,81.25,11,365,0,0,0
1,106.25,11,395,440,440,791
1,131.25,11,311,0,0,0
1,156.25,11,214,0,0,0
1,181.25,11,169,0,0,0
1,7.8125,12,82,0,0,0
1,32.8125,12,82,0,0,0
1,57.8125,12,81,0,0,0
1,82.8125,12,468,0,0,0
1,107.8125,12,383,436,436,737
1,132.8125,12,306,0,0,0
1,157.8125,12,212,0,0,0
1,182.8125,12,165,0,0,0
1,9.375,13,82,0,0,0
1,34.375,13,84,0,0,0
1,59.375,13,85,0,0,0
1,109.375,13,378,452,452,665
1,134.375,13,301,0,0,0
1,159.375,13,210,0,0,0
1,184.375,13,162,0,0,0
1,10.9375,14,84,0,0,0
1,35.9375,14,84,0,0,0
1,60.9375,14,85,0,0,0
